window_id,solution_id,event_index,window_end_time,candidate_old_label,candidate_new_label,reason_code,candidate_reason,judge,current_idle_s,keys_30s,text_keys_30s,keys_60s
1136332-w003,1136332,101,2025-12-24T09:07:32.311250,-1,1,long_idle_no_recent_evidence,高召回候选：长时间无近期编辑/新反馈，先送二次LLM复核；不直接等同于最终应弹窗。,AC,376.023,0,0,0
1136332-w004,1136332,101,2025-12-24T09:09:46.706875,-1,1,long_idle_no_recent_evidence,高召回候选：长时间无近期编辑/新反馈，先送二次LLM复核；不直接等同于最终应弹窗。,AC,510.419,0,0,0
1136332-w005,1136332,101,2025-12-24T09:12:01.102500,-1,1,long_idle_no_recent_evidence,高召回候选：长时间无近期编辑/新反馈，先送二次LLM复核；不直接等同于最终应弹窗。,AC,644.814,0,0,0
1299589-w003,1299589,137,2026-01-06T20:27:23.974350,-1,1,long_idle_no_recent_evidence,高召回候选：长时间无近期编辑/新反馈，先送二次LLM复核；不直接等同于最终应弹窗。,AC,61.241,0,0,0
1249728-w002,1249728,106,2026-01-04T08:24:55.633125,-1,1,long_idle_no_recent_evidence,高召回候选：长时间无近期编辑/新反馈，先送二次LLM复核；不直接等同于最终应弹窗。,WA,148.655,0,0,0
1249728-w003,1249728,106,2026-01-04T08:27:03.200250,-1,1,long_idle_no_recent_evidence,高召回候选：长时间无近期编辑/新反馈，先送二次LLM复核；不直接等同于最终应弹窗。,WA,276.222,0,0,0
1249728-w004,1249728,106,2026-01-04T08:29:10.767375,-1,1,long_idle_no_recent_evidence,高召回候选：长时间无近期编辑/新反馈，先送二次LLM复核；不直接等同于最终应弹窗。,WA,403.789,0,0,0
1249728-w005,1249728,106,2026-01-04T08:31:18.334500,-1,1,long_idle_no_recent_evidence,高召回候选：长时间无近期编辑/新反馈，先送二次LLM复核；不直接等同于最终应弹窗。,WA,531.356,0,0,0
1132940-w005,1132940,456,2025-12-23T22:43:31.051400,-1,1,long_idle_no_recent_evidence,高召回候选：长时间无近期编辑/新反馈，先送二次LLM复核；不直接等同于最终应弹窗。,AC,327.613,0,0,0
1272023-w003,1272023,488,2026-01-05T16:36:05.977049999,-1,1,long_idle_no_recent_evidence,高召回候选：长时间无近期编辑/新反馈，先送二次LLM复核；不直接等同于最终应弹窗。,TLE,115.187,0,0,0
1272023-w004,1272023,508,2026-01-05T16:39:31.292474999,-1,1,long_idle_no_recent_evidence,高召回候选：长时间无近期编辑/新反馈，先送二次LLM复核；不直接等同于最终应弹窗。,TLE,164.181,0,0,0
1272023-w005,1272023,508,2026-01-05T16:42:56.607899999,-1,1,long_idle_no_recent_evidence,高召回候选：长时间无近期编辑/新反馈，先送二次LLM复核；不直接等同于最终应弹窗。,TLE,369.497,0,0,0
1166905-w003,1166905,488,2025-12-26T11:26:38.060150,-1,1,long_idle_no_recent_evidence,高召回候选：长时间无近期编辑/新反馈，先送二次LLM复核；不直接等同于最终应弹窗。,WA,292.125,0,0,0
1166905-w004,1166905,508,2025-12-26T11:31:33.941925,-1,1,long_idle_no_recent_evidence,高召回候选：长时间无近期编辑/新反馈，先送二次LLM复核；不直接等同于最终应弹窗。,WA,129.525,0,0,0
1380331-w002,1380331,58,2026-01-09T21:23:02.639250,-1,1,long_idle_no_recent_evidence,高召回候选：长时间无近期编辑/新反馈，先送二次LLM复核；不直接等同于最终应弹窗。,AC,77.157,0,0,0
1070364-w003,1070364,178,2025-12-17T09:19:27.436250,-1,1,long_idle_no_recent_evidence,高召回候选：长时间无近期编辑/新反馈，先送二次LLM复核；不直接等同于最终应弹窗。,WA,156.702,0,0,0
1070364-w005,1070364,290,2025-12-17T09:23:06.821500,-1,1,long_idle_no_recent_evidence,高召回候选：长时间无近期编辑/新反馈，先送二次LLM复核；不直接等同于最终应弹窗。,WA,74.963,0,0,0
1440765-w001,1440765,22,2026-03-28T11:37:12.985600,-1,1,long_idle_no_recent_evidence,高召回候选：长时间无近期编辑/新反馈，先送二次LLM复核；不直接等同于最终应弹窗。,AC,84.426,0,0,0
1116414-w003,1116414,57,2025-12-22T16:42:01.208800,-1,1,long_idle_no_recent_evidence,高召回候选：长时间无近期编辑/新反馈，先送二次LLM复核；不直接等同于最终应弹窗。,WA,87.256,0,0,0
1036007-w002,1036007,214,2025-12-12T10:02:16.336750,-1,1,long_idle_no_recent_evidence,高召回候选：长时间无近期编辑/新反馈，先送二次LLM复核；不直接等同于最终应弹窗。,WA,118.991,0,0,0
1036007-w003,1036007,214,2025-12-12T10:04:30.781900,-1,1,long_idle_no_recent_evidence,高召回候选：长时间无近期编辑/新反馈，先送二次LLM复核；不直接等同于最终应弹窗。,WA,253.436,0,0,0
1019177-w003,1019177,245,2025-12-10T10:15:25.317850,-1,1,long_idle_no_recent_evidence,高召回候选：长时间无近期编辑/新反馈，先送二次LLM复核；不直接等同于最终应弹窗。,AC,64.403,0,0,0
1142006-w001,1142006,81,2025-12-24T17:45:29.281400,-1,1,long_idle_no_recent_evidence,高召回候选：长时间无近期编辑/新反馈，先送二次LLM复核；不直接等同于最终应弹窗。,WA,77.438,0,0,0
1055076-w005,1055076,310,2025-12-15T19:26:57.240100,-1,1,long_idle_no_recent_evidence,高召回候选：长时间无近期编辑/新反馈，先送二次LLM复核；不直接等同于最终应弹窗。,TLE,62.317,0,0,0
1272188-w003,1272188,337,2026-01-05T16:41:42.553100,-1,1,long_idle_no_recent_evidence,高召回候选：长时间无近期编辑/新反馈，先送二次LLM复核；不直接等同于最终应弹窗。,WA,87.672,0,0,0
1272188-w004,1272188,360,2026-01-05T16:44:16.052950,-1,1,long_idle_no_recent_evidence,高召回候选：长时间无近期编辑/新反馈，先送二次LLM复核；不直接等同于最终应弹窗。,WA,65.761,0,0,0
1322502-w001,1322502,162,2026-01-07T19:10:12.139800,-1,1,long_idle_no_recent_evidence,高召回候选：长时间无近期编辑/新反馈，先送二次LLM复核；不直接等同于最终应弹窗。,AC,84.553,0,0,0
1095283-w002,1095283,272,2025-12-19T21:42:02.785999999,-1,1,long_idle_no_recent_evidence,高召回候选：长时间无近期编辑/新反馈，先送二次LLM复核；不直接等同于最终应弹窗。,AC,65.628,0,0,0
1257843-w003,1257843,112,2026-01-04T17:23:40.128650,-1,1,long_idle_no_recent_evidence,高召回候选：长时间无近期编辑/新反馈，先送二次LLM复核；不直接等同于最终应弹窗。,AC,94.291,0,0,0
1432485-w003,1432485,818,2026-03-25T10:42:43.020400,-1,1,long_idle_no_recent_evidence,高召回候选：长时间无近期编辑/新反馈，先送二次LLM复核；不直接等同于最终应弹窗。,AC,76.82,0,0,0
1432485-w005,1432485,853,2026-03-25T10:49:49.645200,-1,1,long_idle_no_recent_evidence,高召回候选：长时间无近期编辑/新反馈，先送二次LLM复核；不直接等同于最终应弹窗。,AC,67.736,0,0,0
1154760-w004,1154760,263,2025-12-25T16:23:15.730099999,-1,1,long_idle_no_recent_evidence,高召回候选：长时间无近期编辑/新反馈，先送二次LLM复核；不直接等同于最终应弹窗。,AC,92.875,0,0,0
1135851-w003,1135851,471,2025-12-24T08:50:42.767250,-1,1,long_idle_no_recent_evidence,高召回候选：长时间无近期编辑/新反馈，先送二次LLM复核；不直接等同于最终应弹窗。,AC,97.131,0,0,0
1239234-w003,1239234,436,2026-01-02T22:31:01.707250,-1,1,long_idle_no_recent_evidence,高召回候选：长时间无近期编辑/新反馈，先送二次LLM复核；不直接等同于最终应弹窗。,TLE,70.248,0,0,0
1010242-w003,1010242,140,2025-12-08T22:16:31.575400,-1,1,long_idle_no_recent_evidence,高召回候选：长时间无近期编辑/新反馈，先送二次LLM复核；不直接等同于最终应弹窗。,AC,523.905,0,0,0
1233058-w001,1233058,323,2026-01-02T11:08:29.613400,-1,1,long_idle_no_recent_evidence,高召回候选：长时间无近期编辑/新反馈，先送二次LLM复核；不直接等同于最终应弹窗。,AC,66.939,0,0,0
