window_id,solution_id,event_index,window_end_time,label,my_label,same_as_user,reason,judge,current_idle_s,keys_5s,keys_10s,keys_30s,keys_60s,keys_120s,text_keys_30s,text_keys_60s,modifier_keys_30s,clipboard_ops_30s,backspace_30s,enter_30s,pause_count_30s
1201971-w003,1201971,739,2025-12-29T19:16:11.143150,0,0,True,仍在持续编码，不应因活动本身弹窗,AC,0.147,17,27,77,83,123,67,72,10,0,0,7,2
1201971-w004,1201971,913,2025-12-29T19:21:05.666925,0,0,True,仍在持续编码，不应因活动本身弹窗,AC,2.708,2,8,27,56,67,22,48,5,0,0,3,4
1201971-w005,1201971,1060,2025-12-29T19:26:00.190700,0,0,True,以快捷键/剪贴板为主，不像需要帮助,AC,17.994,0,0,8,51,79,4,41,4,3,0,0,2
1154790-w001,1154790,16,2025-12-25T16:15:06.193600,1,-1,False,证据不足或主要是剪贴板/异常记录，跳过,WA,22.039,0,0,4,8,8,4,8,0,0,0,0,0
1154790-w002,1154790,60,2025-12-25T16:18:49.208000,0,-1,False,证据不足或主要是剪贴板/异常记录，跳过,WA,17.774,0,0,1,2,17,1,2,0,0,0,0,0
1154790-w003,1154790,65,2025-12-25T16:22:32.222400,0,0,True,长时间无文本输入，优先视为阅读/检查，不打扰,WA,119.65,0,0,0,0,1,0,0,0,0,0,0,0
1154790-w004,1154790,135,2025-12-25T16:26:15.236800,0,-1,False,证据不足或主要是剪贴板/异常记录，跳过,WA,45.703,0,0,0,14,40,0,14,0,0,0,0,0
1154790-w005,1154790,140,2025-12-25T16:29:58.251200,1,-1,False,证据不足或主要是剪贴板/异常记录，跳过,WA,0.491,2,2,3,3,3,3,3,0,0,0,0,1
1138163-w001,1138163,199,2025-12-24T11:30:06.082400,0,0,True,仍在持续编码，不应因活动本身弹窗,AC,0.203,12,27,68,135,200,19,68,30,0,0,2,2
1138163-w002,1138163,244,2025-12-24T11:31:23.635749999,1,0,False,长时间无文本输入，优先视为阅读/检查，不打扰,AC,53.681,0,0,0,10,142,0,4,0,0,0,0,0
1138163-w003,1138163,244,2025-12-24T11:32:41.189100,1,0,False,长时间无文本输入，优先视为阅读/检查，不打扰,AC,131.234,0,0,0,0,0,0,0,0,0,0,0,0
1138163-w004,1138163,244,2025-12-24T11:33:58.742450,1,0,False,长时间无文本输入，优先视为阅读/检查，不打扰,AC,208.787,0,0,0,0,0,0,0,0,0,0,0,0
1138163-w005,1138163,310,2025-12-24T11:35:16.295800,0,0,True,仍在持续编码，不应因活动本身弹窗,AC,3.372,7,16,35,66,66,10,19,14,0,0,1,2
1080234-w001,1080234,157,2025-12-18T13:58:37.941800,0,0,True,仍在持续编码，不应因活动本身弹窗,WA,2.813,4,11,32,66,66,27,56,5,0,0,0,4
1080234-w002,1080234,390,2025-12-18T14:02:58.794000,0,0,True,当前没有明确卡住证据，保守不打扰,WA,6.403,0,9,19,40,66,19,36,0,0,0,1,4
1080234-w003,1080234,456,2025-12-18T14:07:19.646200,1,0,False,长时间无文本输入，优先视为阅读/检查，不打扰,WA,53.878,0,0,0,6,10,0,6,0,0,0,0,0
1080234-w004,1080234,518,2025-12-18T14:11:40.498400,1,0,False,以快捷键/剪贴板为主，不像需要帮助,WA,2.818,5,5,7,7,13,6,6,1,1,0,0,1
1080234-w005,1080234,547,2025-12-18T14:16:01.350600,1,0,False,长时间无文本输入，优先视为阅读/检查，不打扰,WA,76.142,0,0,0,0,13,0,0,0,0,0,0,0
1055866-w001,1055866,5,2025-12-15T19:40:54.985000,1,-1,False,证据不足或主要是剪贴板/异常记录，跳过,WA,29.157,0,0,6,6,6,0,0,6,0,0,0,0
1055866-w002,1055866,5,2025-12-15T19:41:18.908500,1,-1,False,证据不足或主要是剪贴板/异常记录，跳过,WA,53.081,0,0,0,6,6,0,0,0,0,0,0,0
1055866-w003,1055866,7,2025-12-15T19:41:42.832000,1,-1,False,证据不足或主要是剪贴板/异常记录，跳过,WA,5.051,0,2,2,2,8,0,0,2,0,0,0,0
1055866-w004,1055866,7,2025-12-15T19:42:06.755500,1,-1,False,证据不足或主要是剪贴板/异常记录，跳过,WA,28.974,0,0,2,2,8,0,0,2,0,0,0,0
1055866-w005,1055866,22,2025-12-15T19:42:30.679000,1,-1,False,证据不足或主要是剪贴板/异常记录，跳过,WA,0.291,8,9,15,17,17,7,7,8,0,0,1,2
1387653-w001,1387653,419,2026-01-10T00:41:24.607200,0,0,True,仍在持续编码，不应因活动本身弹窗,WA,0.889,5,17,56,85,139,40,54,16,0,0,1,2
1387653-w002,1387653,579,2026-01-10T00:45:53.025000,0,0,True,仍在持续编码，不应因活动本身弹窗,WA,0.296,10,30,60,70,106,43,53,17,0,0,3,1
1387653-w003,1387653,601,2026-01-10T00:50:21.442800,1,0,False,长时间无文本输入，优先视为阅读/检查，不打扰,WA,42.225,0,0,0,8,8,0,7,0,0,0,0,0
1387653-w004,1387653,693,2026-01-10T00:54:49.860600,1,0,False,长时间无文本输入，优先视为阅读/检查，不打扰,WA,44.461,0,0,0,5,7,0,5,0,0,0,0,0
1387653-w005,1387653,693,2026-01-10T00:59:18.278400,1,0,False,长时间无文本输入，优先视为阅读/检查，不打扰,WA,312.878,0,0,0,0,0,0,0,0,0,0,0,0
1046718-w001,1046718,75,2025-12-14T19:15:59.207000,0,0,True,仍在持续编码，不应因活动本身弹窗,AC,0.639,14,27,75,76,76,66,66,9,0,0,5,1
1046718-w002,1046718,119,2025-12-14T19:16:36.558125,0,0,True,仍在持续编码，不应因活动本身弹窗,AC,4.765,1,11,38,96,120,28,79,10,0,0,2,2
1046718-w003,1046718,136,2025-12-14T19:17:13.909250,0,0,True,仍在持续编码，不应因活动本身弹窗,AC,1.083,5,13,17,44,137,14,34,3,0,0,0,3
1046718-w004,1046718,178,2025-12-14T19:17:51.260375,0,0,True,仍在持续编码，不应因活动本身弹窗,AC,1.693,7,18,36,59,125,27,45,9,0,0,0,3
1046718-w005,1046718,241,2025-12-14T19:18:28.611500,0,0,True,仍在持续编码，不应因活动本身弹窗,AC,0.906,7,21,46,90,131,36,68,10,0,0,2,1
1423437-w001,1423437,32,2026-03-23T13:13:49.294400,-1,-1,True,证据不足或主要是剪贴板/异常记录，跳过,AC,14.46,0,0,4,33,33,1,2,3,1,0,0,0
1423437-w002,1423437,32,2026-03-23T13:14:30.070625,-1,-1,True,证据不足或主要是剪贴板/异常记录，跳过,AC,55.237,0,0,0,4,33,0,1,0,0,0,0,0
1423437-w003,1423437,32,2026-03-23T13:15:10.846850,-1,-1,True,证据不足或主要是剪贴板/异常记录，跳过,AC,96.013,0,0,0,0,6,0,0,0,0,0,0,0
1423437-w004,1423437,32,2026-03-23T13:15:51.623075,-1,-1,True,证据不足或主要是剪贴板/异常记录，跳过,AC,136.789,0,0,0,0,0,0,0,0,0,0,0,0
1423437-w005,1423437,32,2026-03-23T13:16:32.399300,-1,-1,True,证据不足或主要是剪贴板/异常记录，跳过,AC,177.565,0,0,0,0,0,0,0,0,0,0,0,0
1299160-w001,1299160,3,2026-01-06T20:11:32.803200,-1,-1,True,证据不足或主要是剪贴板/异常记录，跳过,WA,27.141,0,0,3,4,4,1,1,2,1,0,0,0
1299160-w002,1299160,3,2026-01-06T20:12:02.981249999,-1,-1,True,证据不足或主要是剪贴板/异常记录，跳过,WA,57.319,0,0,0,3,4,0,1,0,0,0,0,0
1299160-w003,1299160,4,2026-01-06T20:12:33.159300,-1,-1,True,证据不足或主要是剪贴板/异常记录，跳过,WA,3.854,1,1,1,1,5,1,1,0,0,0,0,0
1299160-w004,1299160,4,2026-01-06T20:13:03.337350,-1,-1,True,证据不足或主要是剪贴板/异常记录，跳过,WA,34.032,0,0,0,1,4,0,1,0,0,0,0,0
1299160-w005,1299160,32,2026-01-06T20:13:33.515400,0,-1,False,证据不足或主要是剪贴板/异常记录，跳过,WA,0.143,6,28,28,28,29,9,9,19,0,0,0,1
1009937-w001,1009937,208,2025-12-08T21:57:05.814400,0,0,True,仍在持续编码，不应因活动本身弹窗,AC,2.118,9,10,31,98,209,28,77,3,0,0,2,4
1009937-w002,1009937,318,2025-12-08T21:58:28.448875,0,0,True,仍在持续编码，不应因活动本身弹窗,AC,0.828,9,12,34,72,150,15,45,19,0,0,1,2
1009937-w003,1009937,373,2025-12-08T21:59:51.083350,0,0,True,长时间无文本输入，优先视为阅读/检查，不打扰,AC,44.595,0,0,0,29,99,0,20,0,0,0,0,0
1009937-w004,1009937,398,2025-12-08T22:01:13.717825,1,1,True,仍有任务进展但出现低速/阶段性停滞，可考虑弹,AC,28.223,0,0,3,24,25,2,22,1,0,0,1,0
1009937-w005,1009937,435,2025-12-08T22:02:36.352300,0,0,True,仍在持续编码，不应因活动本身弹窗,AC,0.43,9,15,23,37,45,21,34,2,0,0,1,3
1008476-w001,1008476,147,2025-12-08T20:19:43.888000,0,0,True,当前没有明确卡住证据，保守不打扰,AC,1.327,4,4,7,13,18,5,10,2,0,0,0,1
1008476-w002,1008476,159,2025-12-08T20:22:55.224250,1,1,True,少量后续修改，可能在卡住或尝试修正，建议人工确认,AC,18.694,0,0,2,2,2,2,2,0,0,0,0,0
1008476-w003,1008476,305,2025-12-08T20:26:06.560500,0,0,True,当前没有明确卡住证据，保守不打扰,AC,7.599,0,2,69,83,112,18,31,51,0,0,1,2
1008476-w004,1008476,367,2025-12-08T20:29:17.896749999,0,0,True,当前没有明确卡住证据，保守不打扰,AC,1.056,2,2,4,32,41,4,28,0,0,0,1,1
1008476-w005,1008476,460,2025-12-08T20:32:29.233000,0,0,True,当前没有明确卡住证据，保守不打扰,AC,18.911,0,0,2,7,38,2,7,0,0,0,0,1
1050643-w001,1050643,161,2025-12-15T13:56:44.658600,0,0,True,当前没有明确卡住证据，保守不打扰,AC,6.717,0,5,55,119,162,48,93,7,0,0,3,3
1050643-w002,1050643,228,2025-12-15T13:57:46.329125,0,0,True,仍在持续编码，不应因活动本身弹窗,AC,0.578,9,19,19,67,182,17,60,2,0,0,0,0
1050643-w003,1050643,280,2025-12-15T13:58:47.999650,1,1,True,长停顿后仍处于未完成/异常阶段，保留为可能需要帮助,AC,38.444,0,0,0,30,113,0,28,0,0,0,0,0
1050643-w004,1050643,297,2025-12-15T13:59:49.670175,0,0,True,当前没有明确卡住证据，保守不打扰,AC,0.493,6,6,6,17,42,5,16,1,0,0,0,0
1050643-w005,1050643,398,2025-12-15T14:00:51.340700,0,0,True,仍在持续编码，不应因活动本身弹窗,AC,1.044,4,9,51,99,118,46,88,5,0,0,2,3
1135122-w001,1135122,178,2025-12-24T08:24:47.867800,1,1,True,少量后续修改，可能在卡住或尝试修正，建议人工确认,AC,26.876,0,0,1,3,48,1,2,0,0,0,1,0
1135122-w002,1135122,360,2025-12-24T08:28:38.638375,0,0,True,仍在持续编码，不应因活动本身弹窗,AC,0.334,6,8,15,27,101,12,24,3,0,0,1,2
1135122-w003,1135122,436,2025-12-24T08:32:29.408950,0,1,False,仍有任务进展但出现低速/阶段性停滞，可考虑弹,AC,29.279,0,0,3,18,62,3,15,0,0,0,0,0
1135122-w004,1135122,678,2025-12-24T08:36:20.179525,0,0,True,当前没有明确卡住证据，保守不打扰,AC,6.515,0,9,35,62,116,29,53,6,0,0,2,1
1135122-w005,1135122,870,2025-12-24T08:40:10.950100,1,0,False,当前没有明确卡住证据，保守不打扰,AC,11.03,0,0,1,12,118,1,12,0,0,0,0,0
1145934-w001,1145934,56,2025-12-25T09:55:31.938000,0,0,True,仍在持续编码，不应因活动本身弹窗,AC,3.996,1,7,40,45,57,31,36,9,0,0,1,1
1145934-w002,1145934,72,2025-12-25T09:57:16.362250,1,0,False,长时间无文本输入，优先视为阅读/检查，不打扰,AC,84.086,0,0,0,0,34,0,0,0,0,0,0,0
1145934-w003,1145934,72,2025-12-25T09:59:00.786500,1,0,False,长时间无文本输入，优先视为阅读/检查，不打扰,AC,188.511,0,0,0,0,0,0,0,0,0,0,0,0
1145934-w004,1145934,91,2025-12-25T10:00:45.210750,1,0,False,当前没有明确卡住证据，保守不打扰,AC,17.671,0,0,6,19,19,6,17,0,0,0,1,2
1145934-w005,1145934,100,2025-12-25T10:02:29.635000,1,0,False,当前没有明确卡住证据，保守不打扰,AC,6.429,0,3,3,6,9,3,5,0,0,0,1,0
1359598-w001,1359598,230,2026-01-09T08:59:02.728800,1,0,False,长时间无文本输入，优先视为阅读/检查，不打扰,CE,58.976,0,0,0,2,65,0,2,0,0,0,0,0
1359598-w002,1359598,708,2026-01-09T09:03:54.845625,0,0,True,当前没有明确卡住证据，保守不打扰,CE,11.062,0,0,168,264,332,3,30,165,0,0,0,1
1359598-w003,1359598,922,2026-01-09T09:08:46.962450,1,1,True,长停顿后仍处于未完成/异常阶段，保留为可能需要帮助,CE,37.132,0,0,0,13,34,0,8,0,0,0,0,0
1359598-w004,1359598,1210,2026-01-09T09:13:39.079275,0,0,True,仍在持续编码，不应因活动本身弹窗,CE,1.365,7,14,28,106,185,25,39,3,0,0,0,3
1359598-w005,1359598,1404,2026-01-09T09:18:31.196100,0,0,True,仍在持续编码，不应因活动本身弹窗,CE,0.001,8,11,48,64,109,35,48,13,0,0,1,4
1428909-w001,1428909,66,2026-03-24T11:54:23.088000,1,1,True,长停顿后仍处于未完成/异常阶段，保留为可能需要帮助,AC,30.163,0,0,0,64,67,0,55,0,0,0,0,0
1428909-w002,1428909,124,2026-03-24T11:55:20.570250,0,0,True,仍在持续编码，不应因活动本身弹窗,AC,0.204,9,15,38,58,122,34,52,4,0,0,0,2
1428909-w003,1428909,125,2026-03-24T11:56:18.052500,1,1,True,长停顿后仍处于未完成/异常阶段，保留为可能需要帮助,AC,57.094,0,0,0,7,59,0,6,0,0,0,0,0
1428909-w004,1428909,202,2026-03-24T11:57:15.534750,0,0,True,当前没有明确卡住证据，保守不打扰,AC,20.705,0,0,30,77,87,25,69,5,0,0,3,0
1428909-w005,1428909,226,2026-03-24T11:58:13.017000,0,0,True,仍在持续编码，不应因活动本身弹窗,AC,0.527,8,18,22,24,101,20,22,2,0,0,0,0
1006107-w001,1006107,163,2025-12-08T18:49:02.694000,1,1,True,长停顿后仍处于未完成/异常阶段，保留为可能需要帮助,WA,53.968,0,0,0,9,28,0,6,0,0,0,0,0
1006107-w002,1006107,244,2025-12-08T18:53:45.663750,0,0,True,仍在持续编码，不应因活动本身弹窗,WA,4.395,1,7,23,57,79,20,43,3,0,0,1,1
1006107-w003,1006107,259,2025-12-08T18:58:28.633500,1,1,True,长停顿后仍处于未完成/异常阶段，保留为可能需要帮助,WA,39.033,0,0,0,6,11,0,4,0,0,0,0,0
1006107-w004,1006107,269,2025-12-08T19:03:11.603250,1,1,True,仍有任务进展但出现低速/阶段性停滞，可考虑弹,WA,4.223,2,2,3,3,6,2,2,1,0,0,0,1
1006107-w005,1006107,277,2025-12-08T19:07:54.573000,0,0,True,长时间无文本输入，优先视为阅读/检查，不打扰,WA,241.62,0,0,0,0,0,0,0,0,0,0,0,0
1398659-w001,1398659,30,2026-01-10T18:03:40.703600,-1,-1,True,证据不足或主要是剪贴板/异常记录，跳过,CE,1.083,6,6,13,15,15,2,3,11,2,0,0,2
1398659-w002,1398659,36,2026-01-10T18:06:25.511250,-1,-1,True,证据不足或主要是剪贴板/异常记录，跳过,CE,104.841,0,0,0,0,5,0,0,0,0,0,0,0
1398659-w003,1398659,42,2026-01-10T18:09:10.318900,-1,-1,True,证据不足或主要是剪贴板/异常记录，跳过,CE,115.778,0,0,0,0,4,0,0,0,0,0,0,0
1398659-w004,1398659,51,2026-01-10T18:11:55.126550,-1,-1,True,证据不足或主要是剪贴板/异常记录，跳过,CE,66.337,0,0,0,0,9,0,0,0,0,0,0,0
1398659-w005,1398659,60,2026-01-10T18:14:39.934200,-1,-1,True,证据不足或主要是剪贴板/异常记录，跳过,CE,98.657,0,0,0,0,2,0,0,0,0,0,0,0
