window_id,solution_id,event_index,window_end_time,old_label,new_label,reason_code,review_reason,judge,current_idle_s,keys_30s,text_keys_30s,keys_60s,backspace_30s,enter_30s,control_30s,clipboard_ops_30s,row_changes_30s,column_changes_30s,review_version,reviewer
1136332-w002,1136332,101,2025-12-24T09:05:17.915625,1,-1,long_idle_no_recent_evidence,长时间无近期编辑证据，可能在读题、检查、等待或离开页面。,AC,241.628,0,0,0,0,0,0,0,0,0,positive-recheck-v1,codex_independent_conservative_review
1136332-w003,1136332,101,2025-12-24T09:07:32.311250,1,-1,long_idle_no_recent_evidence,长时间无近期编辑证据，可能在读题、检查、等待或离开页面。,AC,376.023,0,0,0,0,0,0,0,0,0,positive-recheck-v1,codex_independent_conservative_review
1136332-w004,1136332,101,2025-12-24T09:09:46.706875,1,-1,long_idle_no_recent_evidence,长时间无近期编辑证据，可能在读题、检查、等待或离开页面。,AC,510.419,0,0,0,0,0,0,0,0,0,positive-recheck-v1,codex_independent_conservative_review
1136332-w005,1136332,101,2025-12-24T09:12:01.102500,1,-1,long_idle_no_recent_evidence,长时间无近期编辑证据，可能在读题、检查、等待或离开页面。,AC,644.814,0,0,0,0,0,0,0,0,0,positive-recheck-v1,codex_independent_conservative_review
1299589-w003,1299589,137,2026-01-06T20:27:23.974350,1,-1,long_idle_no_recent_evidence,长时间无近期编辑证据，可能在读题、检查、等待或离开页面。,AC,61.241,0,0,0,0,0,0,0,0,0,positive-recheck-v1,codex_independent_conservative_review
1299589-w004,1299589,156,2026-01-06T20:29:14.640324999,1,-1,insufficient_evidence,存在停顿但缺少足够的即时行为证据，标为不确定。,AC,43.414,0,0,3,0,0,0,0,0,0,positive-recheck-v1,codex_independent_conservative_review
1249728-w002,1249728,106,2026-01-04T08:24:55.633125,1,-1,long_idle_no_recent_evidence,长时间无近期编辑证据，可能在读题、检查、等待或离开页面。,WA,148.655,0,0,0,0,0,0,0,0,0,positive-recheck-v1,codex_independent_conservative_review
1249728-w003,1249728,106,2026-01-04T08:27:03.200250,1,-1,long_idle_no_recent_evidence,长时间无近期编辑证据，可能在读题、检查、等待或离开页面。,WA,276.222,0,0,0,0,0,0,0,0,0,positive-recheck-v1,codex_independent_conservative_review
1249728-w004,1249728,106,2026-01-04T08:29:10.767375,1,-1,long_idle_no_recent_evidence,长时间无近期编辑证据，可能在读题、检查、等待或离开页面。,WA,403.789,0,0,0,0,0,0,0,0,0,positive-recheck-v1,codex_independent_conservative_review
1249728-w005,1249728,106,2026-01-04T08:31:18.334500,1,-1,long_idle_no_recent_evidence,长时间无近期编辑证据，可能在读题、检查、等待或离开页面。,WA,531.356,0,0,0,0,0,0,0,0,0,positive-recheck-v1,codex_independent_conservative_review
1132940-w005,1132940,456,2025-12-23T22:43:31.051400,1,-1,long_idle_no_recent_evidence,长时间无近期编辑证据，可能在读题、检查、等待或离开页面。,AC,327.613,0,0,0,0,0,0,0,0,0,positive-recheck-v1,codex_independent_conservative_review
1055705-w004,1055705,778,2025-12-15T19:34:52.992075,1,0,active_recent_input,窗口结束时仍在连续输入，不应因活动本身弹窗。,WA,1.539,14,8,14,0,0,3,2,2,7,positive-recheck-v1,codex_independent_conservative_review
1272023-w003,1272023,488,2026-01-05T16:36:05.977049999,1,-1,long_idle_no_recent_evidence,长时间无近期编辑证据，可能在读题、检查、等待或离开页面。,TLE,115.187,0,0,0,0,0,0,0,0,0,positive-recheck-v1,codex_independent_conservative_review
1272023-w004,1272023,508,2026-01-05T16:39:31.292474999,1,-1,long_idle_no_recent_evidence,长时间无近期编辑证据，可能在读题、检查、等待或离开页面。,TLE,164.181,0,0,0,0,0,0,0,0,0,positive-recheck-v1,codex_independent_conservative_review
1272023-w005,1272023,508,2026-01-05T16:42:56.607899999,1,-1,long_idle_no_recent_evidence,长时间无近期编辑证据，可能在读题、检查、等待或离开页面。,TLE,369.497,0,0,0,0,0,0,0,0,0,positive-recheck-v1,codex_independent_conservative_review
1166905-w003,1166905,488,2025-12-26T11:26:38.060150,1,-1,long_idle_no_recent_evidence,长时间无近期编辑证据，可能在读题、检查、等待或离开页面。,WA,292.125,0,0,0,0,0,0,0,0,0,positive-recheck-v1,codex_independent_conservative_review
1166905-w004,1166905,508,2025-12-26T11:31:33.941925,1,-1,long_idle_no_recent_evidence,长时间无近期编辑证据，可能在读题、检查、等待或离开页面。,WA,129.525,0,0,0,0,0,0,0,0,0,positive-recheck-v1,codex_independent_conservative_review
1380331-w002,1380331,58,2026-01-09T21:23:02.639250,1,-1,long_idle_no_recent_evidence,长时间无近期编辑证据，可能在读题、检查、等待或离开页面。,AC,77.157,0,0,0,0,0,0,0,0,0,positive-recheck-v1,codex_independent_conservative_review
1070364-w003,1070364,178,2025-12-17T09:19:27.436250,1,-1,long_idle_no_recent_evidence,长时间无近期编辑证据，可能在读题、检查、等待或离开页面。,WA,156.702,0,0,0,0,0,0,0,0,0,positive-recheck-v1,codex_independent_conservative_review
1070364-w005,1070364,290,2025-12-17T09:23:06.821500,1,-1,long_idle_no_recent_evidence,长时间无近期编辑证据，可能在读题、检查、等待或离开页面。,WA,74.963,0,0,0,0,0,0,0,0,0,positive-recheck-v1,codex_independent_conservative_review
1271224-w001,1271224,143,2026-01-05T16:10:35.908200,1,-1,insufficient_evidence,存在停顿但缺少足够的即时行为证据，标为不确定。,AC,42.727,0,0,4,0,0,0,0,0,0,positive-recheck-v1,codex_independent_conservative_review
1440765-w001,1440765,22,2026-03-28T11:37:12.985600,1,-1,long_idle_no_recent_evidence,长时间无近期编辑证据，可能在读题、检查、等待或离开页面。,AC,84.426,0,0,0,0,0,0,0,0,0,positive-recheck-v1,codex_independent_conservative_review
1116414-w003,1116414,57,2025-12-22T16:42:01.208800,1,-1,long_idle_no_recent_evidence,长时间无近期编辑证据，可能在读题、检查、等待或离开页面。,WA,87.256,0,0,0,0,0,0,0,0,0,positive-recheck-v1,codex_independent_conservative_review
1036007-w002,1036007,214,2025-12-12T10:02:16.336750,1,-1,long_idle_no_recent_evidence,长时间无近期编辑证据，可能在读题、检查、等待或离开页面。,WA,118.991,0,0,0,0,0,0,0,0,0,positive-recheck-v1,codex_independent_conservative_review
1036007-w003,1036007,214,2025-12-12T10:04:30.781900,1,-1,long_idle_no_recent_evidence,长时间无近期编辑证据，可能在读题、检查、等待或离开页面。,WA,253.436,0,0,0,0,0,0,0,0,0,positive-recheck-v1,codex_independent_conservative_review
1019177-w003,1019177,245,2025-12-10T10:15:25.317850,1,-1,long_idle_no_recent_evidence,长时间无近期编辑证据，可能在读题、检查、等待或离开页面。,AC,64.403,0,0,0,0,0,0,0,0,0,positive-recheck-v1,codex_independent_conservative_review
1142006-w001,1142006,81,2025-12-24T17:45:29.281400,1,-1,long_idle_no_recent_evidence,长时间无近期编辑证据，可能在读题、检查、等待或离开页面。,WA,77.438,0,0,0,0,0,0,0,0,0,positive-recheck-v1,codex_independent_conservative_review
1055076-w001,1055076,39,2025-12-15T19:20:51.665800,1,-1,insufficient_evidence,存在停顿但缺少足够的即时行为证据，标为不确定。,TLE,2.728,1,1,1,0,1,0,0,0,0,positive-recheck-v1,codex_independent_conservative_review
1055076-w005,1055076,310,2025-12-15T19:26:57.240100,1,-1,long_idle_no_recent_evidence,长时间无近期编辑证据，可能在读题、检查、等待或离开页面。,TLE,62.317,0,0,0,0,0,0,0,0,0,positive-recheck-v1,codex_independent_conservative_review
1272188-w003,1272188,337,2026-01-05T16:41:42.553100,1,-1,long_idle_no_recent_evidence,长时间无近期编辑证据，可能在读题、检查、等待或离开页面。,WA,87.672,0,0,0,0,0,0,0,0,0,positive-recheck-v1,codex_independent_conservative_review
1272188-w004,1272188,360,2026-01-05T16:44:16.052950,1,-1,long_idle_no_recent_evidence,长时间无近期编辑证据，可能在读题、检查、等待或离开页面。,WA,65.761,0,0,0,0,0,0,0,0,0,positive-recheck-v1,codex_independent_conservative_review
1322502-w001,1322502,162,2026-01-07T19:10:12.139800,1,-1,long_idle_no_recent_evidence,长时间无近期编辑证据，可能在读题、检查、等待或离开页面。,AC,84.553,0,0,0,0,0,0,0,0,0,positive-recheck-v1,codex_independent_conservative_review
1262853-w001,1262853,156,2026-01-04T20:19:58.787200,1,-1,insufficient_evidence,存在停顿但缺少足够的即时行为证据，标为不确定。,AC,32.95,0,0,1,0,0,0,0,0,0,positive-recheck-v1,codex_independent_conservative_review
1095283-w002,1095283,272,2025-12-19T21:42:02.785999999,1,-1,long_idle_no_recent_evidence,长时间无近期编辑证据，可能在读题、检查、等待或离开页面。,AC,65.628,0,0,0,0,0,0,0,0,0,positive-recheck-v1,codex_independent_conservative_review
1257843-w003,1257843,112,2026-01-04T17:23:40.128650,1,-1,long_idle_no_recent_evidence,长时间无近期编辑证据，可能在读题、检查、等待或离开页面。,AC,94.291,0,0,0,0,0,0,0,0,0,positive-recheck-v1,codex_independent_conservative_review
1432485-w003,1432485,818,2026-03-25T10:42:43.020400,1,-1,long_idle_no_recent_evidence,长时间无近期编辑证据，可能在读题、检查、等待或离开页面。,AC,76.82,0,0,0,0,0,0,0,0,0,positive-recheck-v1,codex_independent_conservative_review
1432485-w005,1432485,853,2026-03-25T10:49:49.645200,1,-1,long_idle_no_recent_evidence,长时间无近期编辑证据，可能在读题、检查、等待或离开页面。,AC,67.736,0,0,0,0,0,0,0,0,0,positive-recheck-v1,codex_independent_conservative_review
1154760-w004,1154760,263,2025-12-25T16:23:15.730099999,1,-1,long_idle_no_recent_evidence,长时间无近期编辑证据，可能在读题、检查、等待或离开页面。,AC,92.875,0,0,0,0,0,0,0,0,0,positive-recheck-v1,codex_independent_conservative_review
1135851-w003,1135851,471,2025-12-24T08:50:42.767250,1,-1,long_idle_no_recent_evidence,长时间无近期编辑证据，可能在读题、检查、等待或离开页面。,AC,97.131,0,0,0,0,0,0,0,0,0,positive-recheck-v1,codex_independent_conservative_review
1239234-w003,1239234,436,2026-01-02T22:31:01.707250,1,-1,long_idle_no_recent_evidence,长时间无近期编辑证据，可能在读题、检查、等待或离开页面。,TLE,70.248,0,0,0,0,0,0,0,0,0,positive-recheck-v1,codex_independent_conservative_review
1010242-w003,1010242,140,2025-12-08T22:16:31.575400,1,-1,long_idle_no_recent_evidence,长时间无近期编辑证据，可能在读题、检查、等待或离开页面。,AC,523.905,0,0,0,0,0,0,0,0,0,positive-recheck-v1,codex_independent_conservative_review
1233058-w001,1233058,323,2026-01-02T11:08:29.613400,1,-1,long_idle_no_recent_evidence,长时间无近期编辑证据，可能在读题、检查、等待或离开页面。,AC,66.939,0,0,0,0,0,0,0,0,0,positive-recheck-v1,codex_independent_conservative_review
1326292-w005,1326292,198,2026-01-07T20:41:26.592900,1,-1,shortcut_or_clipboard_ambiguous,主要是快捷键/剪贴板或非文本操作，无法判断需要帮助。,AC,20.233,3,1,3,0,0,2,1,1,1,positive-recheck-v1,codex_independent_conservative_review
