window_id,solution_id,event_index,window_end_time,label
1359598-w001,1359598,230,2026-01-09T08:59:02.728800,0
1359598-w002,1359598,708,2026-01-09T09:03:54.845625,0
1359598-w003,1359598,922,2026-01-09T09:08:46.962450,1
1359598-w004,1359598,1210,2026-01-09T09:13:39.079275,0
1359598-w005,1359598,1404,2026-01-09T09:18:31.196100,0
1428909-w001,1428909,66,2026-03-24T11:54:23.088000,1
1428909-w002,1428909,124,2026-03-24T11:55:20.570250,0
1428909-w003,1428909,125,2026-03-24T11:56:18.052500,1
1428909-w004,1428909,202,2026-03-24T11:57:15.534750,0
1428909-w005,1428909,226,2026-03-24T11:58:13.017000,0
1006107-w001,1006107,163,2025-12-08T18:49:02.694000,1
1006107-w002,1006107,244,2025-12-08T18:53:45.663750,0
1006107-w003,1006107,259,2025-12-08T18:58:28.633500,1
1006107-w004,1006107,269,2025-12-08T19:03:11.603250,1
1006107-w005,1006107,277,2025-12-08T19:07:54.573000,0
1398659-w001,1398659,30,2026-01-10T18:03:40.703600,-1
1398659-w002,1398659,36,2026-01-10T18:06:25.511250,-1
1398659-w003,1398659,42,2026-01-10T18:09:10.318900,-1
1398659-w004,1398659,51,2026-01-10T18:11:55.126550,-1
1398659-w005,1398659,60,2026-01-10T18:14:39.934200,-1
