window_id,solution_id,event_index,window_end_time,label,prediction,error_type,source_batch,current_idle_s,keys_30s,text_keys_30s,clipboard_ops_30s,backspace_30s,enter_30s,control_30s,keys_60s,text_keys_60s,judge,key_summary
1135122-w005,1135122,870,2025-12-24T08:40:10.950100,1,0,false_negative,first_235,11.03,1,1,0,0,0,0,12,12,AC,Enter -> i -> n -> t ->   -> l -> a -> s -> t -> Shift -> _ -> c -> a -> h -> a -> r -> = -> - -> 0 -> 1 -> - -> 1 -> 2 -> 1 -> ; -> Enter -> f -> o -> r -> Shift -> ( -> i -> n ->   -> t -> Shift -> W -> c -> = -> Shift -> - -> W -> 1 -> ; -> c -> Shift -> > -> 0 -> ; -> c -> Shift -> _x2 -> -x2 -> Shift -> { -> Enter -> = -> i -> f -> Shift -> ( -> g -> r -> i -> d -> [ -> r -> [ -> c -> Shift -> ! -> = -> ' ->   -> Shift -> ! -> = ->   -> ' -> Shiftx4 -> &x2 -> g -> r -> i -> d -> [ -> r -> [ -> c -> Shift -> ! -> = -> 0 -> Shift -> { -> Enter -> l -> a -> = -> c
1145934-w004,1145934,91,2025-12-25T10:00:45.210750,1,0,false_negative,first_235,17.671,6,6,0,0,1,0,19,17,AC,"Control -> v -> Enter -> Shift -> } -> Shift -> 2 -> * -> Shift -> ( -> Shift -> ) -> n -> -x2 -> y -> x -> y -> Shift -> + -> x -> Shift -> + -> 1 -> ; -> y -> Shift -> < -> = -> n -> ; -> y -> Shiftx2 -> +x2 -> Shift -> { -> Enter -> p -> i -> r -> t -> m -> n -> t -> f -> Shift -> ( -> Shift -> "" -> Shift -> % -> . -> 2 -> d -> , -> i -> ; -> Enter -> p -> r -> n -> t -> f -> i -> Shift -> ( -> Shift -> "" -> \ -> n -> ; -> Enter -> p -> r -> i -> n -> t -> f -> Shift -> ( -> Shift -> "" -> \ -> n -> ; -> / -> * -> Enter -> * -> /"
1145934-w005,1145934,100,2025-12-25T10:02:29.635000,1,0,false_negative,first_235,6.429,3,3,0,0,1,0,6,5,AC,"Control -> v -> Enter -> Shift -> } -> Shift -> 2 -> * -> Shift -> ( -> Shift -> ) -> n -> -x2 -> y -> x -> y -> Shift -> + -> x -> Shift -> + -> 1 -> ; -> y -> Shift -> < -> = -> n -> ; -> y -> Shiftx2 -> +x2 -> Shift -> { -> Enter -> p -> i -> r -> t -> m -> n -> t -> f -> Shift -> ( -> Shift -> "" -> Shift -> % -> . -> 2 -> d -> , -> i -> ; -> Enter -> p -> r -> n -> t -> f -> i -> Shift -> ( -> Shift -> "" -> \ -> n -> ; -> Enter -> p -> r -> i -> n -> t -> f -> Shift -> ( -> Shift -> "" -> \ -> n -> ; -> / -> * -> Enter -> * -> / -> Enter -> / -> * -> Enter -> Shift -> } -> Enter -> / -> *"
1006107-w004,1006107,269,2025-12-08T19:03:11.603250,1,0,false_negative,first_235,4.223,3,2,0,0,0,0,3,2,WA,"h -> Shift -> > -> Enter -> i -> n -> t ->   -> m -> a -> i -> n -> Shift -> ( -> Enter -> Shift -> { -> Enter -> r -> e -> t -> u -> r -> n ->   -> 0 -> ; -> Enter -> w -> h -> i -> l -> e -> Shift -> ( -> s -> c -> a -> n -> f -> Shift -> ( -> Shift -> "" -> Shift -> % -> d -> , -> Shift -> & -> n -> Shift -> ! -> = -> Shift -> O -> E -> F -> Shift -> Enter -> [ -> Enterx2 -> Shift -> { -> Enterx2 -> i -> n -> t ->   -> n -> ; -> f -> o -> r -> Shift -> ( -> i -> t ->   -> n -> i -> = -> 0 -> ; -> i -> Shiftx11 -> < -> n -> 1 -> = -> ; -> i -> Shiftx2 -> +x2 -> Enter -> Shift -> Enter -> Shift -> Enter -> Shift"
1006107-w005,1006107,277,2025-12-08T19:07:54.573000,0,1,false_positive,first_235,241.62,0,0,0,0,0,0,0,0,WA,"m -> a -> i -> n -> Shift -> ( -> Enter -> Shift -> { -> Enter -> r -> e -> t -> u -> r -> n ->   -> 0 -> ; -> Enter -> w -> h -> i -> l -> e -> Shift -> ( -> s -> c -> a -> n -> f -> Shift -> ( -> Shift -> "" -> Shift -> % -> d -> , -> Shift -> & -> n -> Shift -> ! -> = -> Shift -> O -> E -> F -> Shift -> Enter -> [ -> Enterx2 -> Shift -> { -> Enterx2 -> i -> n -> t ->   -> n -> ; -> f -> o -> r -> Shift -> ( -> i -> t ->   -> n -> i -> = -> 0 -> ; -> i -> Shiftx11 -> < -> n -> 1 -> = -> ; -> i -> Shiftx2 -> +x2 -> Enter -> Shift -> Enter -> Shift -> Enter -> Shift -> { -> Enter -> f -> o -> r -> Shift -> ( -> i"
1297782-w001,1297782,22,2026-01-06T19:04:39.088400,1,0,false_negative,first_235,2.912,21,19,0,0,1,0,23,20,AC,Shift -> # -> i -> n -> c -> u -> l -> d -> e -> Shift -> s -> < -> t -> d -> i -> o -> . -> h -> Shift -> > -> Enter -> i -> n
1204347-w003,1204347,700,2025-12-29T20:47:26.746800,0,1,false_positive,first_235,29.966,1,1,0,0,0,0,2,2,WA,"Controlx12 -> v -> j -> = -> Controlx3 -> v -> j -> Shift -> + -> 1 -> ; -> Enter -> Control -> v -> j -> + -> 1 -> Shift -> = -> g -> ; -> p -> r -> i -> n -> t -> f -> Shiftx4 -> ( -> Shift -> "" -> Shiftx12 -> B -> E -> S -> T -> \ -> n -> Shiftx56 -> % -> Shift -> d ->   -> Shift -> % -> d ->   -> Shift -> % -> d ->   -> Shift -> % -> d -> \ -> n -> , -> Shiftx56 -> Controlx10 -> v -> . -> 0 -> , -> Controlx6 -> v -> 0 -> . -> n -> u -> m -> , -> Controlx9 -> v -> Control -> 0 -> . -> b -> , -> Control -> v -> 0 -> . -> c -> , -> Control -> v -> 0 -> . -> d -> ; -> u"
1299589-w001,1299589,58,2026-01-06T20:23:42.642400,0,1,false_positive,first_235,84.287,0,0,0,0,0,0,0,0,AC,"Shift -> # -> i -> n -> c -> l -> u -> d -> e -> Shift -> < -> t -> d -> s -> i -> . -> o -> h -> Shift -> > -> Enter -> n -> t ->   -> i -> m -> i -> n -> Shift -> a -> ( -> Shift -> { -> Enterx6 -> r -> e -> t -> u -> r ->   -> 0 -> n -> ; -> i -> n -> t ->   -> a -> , -> b -> , -> n -> ; -> Enter"
1090270-w005,1090270,630,2025-12-19T11:11:44.434500,0,1,false_positive,first_235,33.166,0,0,0,0,0,0,4,1,AC,Shift -> ( -> e -> v -> e -> n -> [ -> j -> > -> Shift -> Enter -> i -> n -> t ->   -> t -> ; -> = -> e -> v -> e -> n -> [ -> j -> e -> v -> e -> n -> [ -> j -> Shift -> + -> 1 -> Shift -> { -> Enter -> e -> v -> n -> e -> [ -> j -> = -> e -> v -> e -> n -> Shift -> J -> [ -> Shift -> + -> 1 -> j -> ; -> Enter -> e -> v -> e -> n -> [ -> j -> Shift -> + -> 1 -> - -> = -> t -> ; -> Control -> Insert -> Control -> Insert -> Control -> c -> Control -> v -> Control -> v -> ox3 -> dx4 -> ox2 -> dx2 -> o -> dx2 -> o -> dx2 -> o -> dx2 -> Control -> Insert -> Enter -> r -> f -> o -> Shift -> ( -> i -> n -> t
1132940-w003,1132940,402,2025-12-23T22:35:29.438800,0,1,false_positive,first_235,50.818,0,0,0,0,0,0,1,0,AC,". -> h -> i -> n -> t ->   -> l -> e -> n -> Shiftx3 -> _ -> 1 -> = ->  x2 -> s -> t -> r -> l -> e -> n -> Shift -> ( -> b -> ; -> Enter -> i -> n -> t ->   -> l -> e -> n -> Shift -> + -> Shift -> _ -> 2 ->   -> = ->   -> s -> t -> r -> l -> e -> n ->   -> Shift -> ( -> a -> f -> ; -> Enterx3 -> v -> o -> i -> d ->   -> m -> a -> x -> Shiftx2 -> i -> n -> t -> ( ->   -> a -> , -> i -> n -> t ->   -> b -> Shift -> { -> Enter -> r -> e -> t ->   -> Shiftx7 -> ( -> a ->   -> Shift -> > ->   -> b ->   -> Shift -> ? ->   -> a ->   -> : -> Shift ->   -> b -> ;"
1132940-w004,1132940,456,2025-12-23T22:39:30.245100,0,1,false_positive,first_235,86.807,0,0,0,0,0,0,0,0,AC,"; -> Enterx3 -> v -> o -> i -> d ->   -> m -> a -> x -> Shiftx2 -> i -> n -> t -> ( ->   -> a -> , -> i -> n -> t ->   -> b -> Shift -> { -> Enter -> r -> e -> t ->   -> Shiftx7 -> ( -> a ->   -> Shift -> > ->   -> b ->   -> Shift -> ? ->   -> a ->   -> : -> Shift ->   -> b -> ; -> Enter -> i -> n -> t ->   -> m -> x -> a ->   -> Shift -> _ -> l -> e -> nx2 ->   -> = ->   -> m -> a -> x -> ( -> Shift -> l -> 1 -> ; -> , -> l -> Enter -> ; -> f -> o -> r -> Shift -> ( -> i -> n -> t ->   -> n ->   -> = ->   -> 0 -> i -> j -> ; ->   -> i ->   -> Shift -> <"
1055705-w004,1055705,778,2025-12-15T19:34:52.992075,1,0,false_negative,first_235,1.539,14,8,2,0,0,3,14,8,WA,"v -> , -> Controlx8 -> Shift -> & -> Control -> v -> ; -> m -> a -> e -> n -> c -> Enter -> Control -> v -> t -> o -> t -> a -> l -> = -> Controlx4 -> v -> Control -> = -> - -> Control -> = -> Control -> - -> Control -> = -> Control -> = -> Control -> -x2 -> Shift -> + -> Controlx5 -> v -> Shift -> + -> Control -> v -> c -> Control -> Insert -> e -> n -> m -> a -> r -> hx2 -> t -> ; -> Enter -> q -> s -> o -> t -> r -> Shift -> ( -> s -> d -> . -> t -> ,x2 -> n -> s -> i -> z -> o -> ex2 -> o -> d -> Shift -> ( -> =x2 -> f -> Shift -> ( -> sx2 -> t -> r -> u -> c -> t ->   -> s -> t -> d -> u -> e -> n -> t -> , -> m -> p"
1272023-w002,1272023,483,2026-01-05T16:32:40.661625,0,1,false_positive,first_235,82.992,0,0,0,0,0,0,0,0,TLE,"n -> , -> c -> u -> o -> n -> t -> ; -> , -> c -> o -> u -> n -> t -> ; -> Enter -> i -> n -> t ->   -> i -> s -> p -> r -> i -> m -> e -> Shift -> ( -> i -> n -> t ->   -> n -> Enter -> Shift -> { -> Enter -> i -> f -> Shift -> n -> ( -> Shift -> < -> = -> 1 -> Enter -> r -> e -> t -> u -> r -> n ->   -> ; -> Enter -> 0 -> i -> f -> Shift -> n -> ( -> Shift -> < -> = -> 3 -> Enter -> r -> Alt ->   -> 1 -> ; -> Enter -> i -> f -> Shift -> ( -> n -> Shiftx5 -> 2 -> % -> =x2 -> 0 -> Shift -> |x2 -> n -> Shift -> % -> 3 -> =x2 -> 0 -> Enter -> r ->   -> 0 -> ; -> Enter ->   -> Enter"
1259801-w004,1259801,205,2026-01-04T19:21:04.951524999,1,0,false_negative,first_235,16.562,16,15,0,0,1,0,36,30,AC,"# -> i -> n -> c -> Shift -> l -> u -> d -> Shift -> < -> e -> s -> d -> t -> i -> o -> . -> h -> Shift -> Enter -> > -> n -> t ->   -> m -> i -> a -> i -> Shift -> N -> ( -> Shift -> ( -> n -> Shift -> { -> Enter -> ' -> Enterx3 -> r -> t -> u -> r -> e -> n ->   -> 0 -> ; -> Enter -> Shift -> } -> i -> n -> t -> s ->   -> , -> e -> , -> r -> Enter -> ; -> w -> h -> i -> e -> Shift -> l -> ( -> s -> c -> a -> n -> f -> Shift -> ( -> "" -> s -> Shift -> ~ -> e -> , -> r -> , -> Shift -> & -> s -> Shift -> "" -> % -> d -> Shift -> ~ -> Shift -> d -> % -> , -> Shift -> d -> %"
1259801-w005,1259801,214,2026-01-04T19:21:48.101099999,1,0,false_negative,first_235,17.817,9,6,0,0,0,0,10,7,AC,"# -> i -> n -> c -> Shift -> l -> u -> d -> Shift -> < -> e -> s -> d -> t -> i -> o -> . -> h -> Shift -> Enter -> > -> n -> t ->   -> m -> i -> a -> i -> Shift -> N -> ( -> Shift -> ( -> n -> Shift -> { -> Enter -> ' -> Enterx3 -> r -> t -> u -> r -> e -> n ->   -> 0 -> ; -> Enter -> Shift -> } -> i -> n -> t -> s ->   -> , -> e -> , -> r -> Enter -> ; -> w -> h -> i -> e -> Shift -> l -> ( -> s -> c -> a -> n -> f -> Shift -> ( -> "" -> s -> Shift -> ~ -> e -> , -> r -> , -> Shift -> & -> s -> Shift -> "" -> % -> d -> Shift -> ~ -> Shift -> d -> % -> , -> Shift -> d -> %"
1429511-w002,1429511,445,2026-03-24T14:09:05.360125,0,1,false_positive,first_235,31.18,0,0,0,0,0,0,59,57,AC,"< -> n -> l -> ; -> m -> ; ->   -> + -> i -> + ->   -> { -> Enter -> s -> Shift -> c -> n -> a -> f -> d -> Shift -> * -> (x2 -> "" -> % -> d ->   -> Shift -> % -> d ->   -> Shift -> % -> D -> d ->   -> , -> Shift -> & -> p -> , ->   -> & -> Shift -> m -> , ->   -> Shift -> c -> & -> ; -> [ -> o -> ix2 -> [ -> i -> [ -> i -> Enterx2 -> f -> r -> o ->   -> Shift -> ( -> i -> n -> t ->   -> i -> = -> 0 -> ; ->   -> i -> Shift -> < -> n -> ; -> m -> ; ->   -> +x2 -> u ->   -> i -> Shift -> Enter -> { -> Enter -> v -> e -> c -> t -> r -> Shift -> < -> o -> i -> n"
1429511-w004,1429511,478,2026-03-24T14:15:12.908775,0,1,false_positive,first_235,150.728,0,0,0,0,0,0,0,0,AC,"% -> D -> d ->   -> , -> Shift -> & -> p -> , ->   -> & -> Shift -> m -> , ->   -> Shift -> c -> & -> ; -> [ -> o -> ix2 -> [ -> i -> [ -> i -> Enterx2 -> f -> r -> o ->   -> Shift -> ( -> i -> n -> t ->   -> i -> = -> 0 -> ; ->   -> i -> Shift -> < -> n -> ; -> m -> ; ->   -> +x2 -> u ->   -> i -> Shift -> Enter -> { -> Enter -> v -> e -> c -> t -> r -> Shift -> < -> o -> i -> n -> t -> Shift -> > ->   -> d -> p -> Shiftx5 -> n -> ( -> + -> , ->   -> 0 -> 1 -> ; -> f -> o -> r ->   -> Shift -> ( -> i -> n -> t ->   -> j -> = -> 0 -> ; ->   -> j -> Shift"
1429511-w005,1429511,478,2026-03-24T14:18:16.683100,0,1,false_positive,first_235,334.502,0,0,0,0,0,0,0,0,AC,"% -> D -> d ->   -> , -> Shift -> & -> p -> , ->   -> & -> Shift -> m -> , ->   -> Shift -> c -> & -> ; -> [ -> o -> ix2 -> [ -> i -> [ -> i -> Enterx2 -> f -> r -> o ->   -> Shift -> ( -> i -> n -> t ->   -> i -> = -> 0 -> ; ->   -> i -> Shift -> < -> n -> ; -> m -> ; ->   -> +x2 -> u ->   -> i -> Shift -> Enter -> { -> Enter -> v -> e -> c -> t -> r -> Shift -> < -> o -> i -> n -> t -> Shift -> > ->   -> d -> p -> Shiftx5 -> n -> ( -> + -> , ->   -> 0 -> 1 -> ; -> f -> o -> r ->   -> Shift -> ( -> i -> n -> t ->   -> j -> = -> 0 -> ; ->   -> j -> Shift"
1017474-w002,1017474,95,2025-12-10T08:49:47.886750,0,1,false_positive,first_235,41.723,0,0,0,0,0,0,1,1,AC,"Control -> i -> # -> Shift -> i -> n -> c -> l -> u -> d -> ex3 -> Shift -> < -> s -> t -> d -> i -> o -> . -> h -> Shift -> > -> Enter -> i -> n -> t ->   -> m -> a -> i -> n -> Shift -> ( -> Shift -> { -> Shift -> { -> Enter -> w -> i -> h -> l -> e -> Shift -> ( -> s -> c -> a -> n -> f -> Shift -> ( -> Enter -> c -> h -> a -> r ->   -> n -> u -> m -> Shift -> { -> 6 -> [ -> 6 -> = -> Shift -> { -> 0 -> Shift -> } -> ; -> Shift -> "" -> Shift -> % -> s ->   -> ,x2 ->   -> n -> u -> m -> Shift -> ! -> = -> e -> o -> f -> Shift -> { -> Enter"
1017474-w005,1017474,265,2025-12-10T08:54:23.344800,0,1,false_positive,first_235,38.538,0,0,0,0,0,0,6,5,AC,"t -> d -> i -> o -> . -> h -> Shift -> > -> Enter -> i -> n -> t ->   -> m -> a -> i -> n -> Shift -> ( -> Shift -> { -> Shift -> { -> Enter -> w -> i -> h -> l -> e -> Shift -> ( -> s -> c -> a -> n -> f -> Shift -> ( -> Enter -> c -> h -> a -> r ->   -> n -> u -> m -> Shift -> { -> 6 -> [ -> 6 -> = -> Shift -> { -> 0 -> Shift -> } -> ; -> Shift -> "" -> Shift -> % -> s ->   -> ,x2 ->   -> n -> u -> m -> Shift -> ! -> = -> e -> o -> f -> Shift -> { -> Enter -> i -> n -> t ->   -> t -> = -> 0 -> ; -> Enter -> i -> f -> Shift -> ( -> n -> u -> m -> [ -> 5 -> 4 -> =x2 -> '"
1070364-w002,1070364,178,2025-12-17T09:17:37.743625,0,1,false_positive,first_235,47.01,0,0,0,0,0,0,8,8,WA,"Shift -> # -> i -> n -> c -> l -> u -> d -> Shift -> e -> Shift -> < -> s -> t -> d -> i -> o -> h -> . -> Shift -> > -> Enter -> i -> n -> t ->   -> m -> a -> i -> n -> Shift -> ) -> Shift -> ( -> v -> i -> o -> i -> d -> Shift -> { -> Enter -> i -> t ->   -> a -> n -> , -> b -> ; -> Enter -> s -> c -> a -> n -> g -> f -> Shift -> ( -> "" -> % -> d -> Shift -> % -> d -> , -> Shiftx6 -> & -> a -> , -> Shiftx10 -> & -> b -> ; -> Enter -> f -> o -> r -> Shift -> ( -> b -> Shift -> > -> 0 -> Shift -> { -> Enterx2 -> n -> t ->   -> i -> c -> ; -> c -> = -> a -> Shiftx21 -> % -> b -> ;"
1391662-w001,1391662,42,2026-01-10T10:29:13.079800,0,1,false_positive,remaining_265,193.599,0,0,0,0,0,0,0,0,WA,Shift -> # -> i -> n -> c -> l -> u -> e -> Shift -> < -> > -> d -> sx2 -> t -> i -> o -> dx2 -> i -> o -> . -> h -> Enterx2 -> i -> n -> t ->   -> m -> a -> i -> Shift -> ( -> n -> v -> o -> i -> d -> Enter -> { -> Shift -> Enter
1440765-w004,1440765,258,2026-03-28T11:44:51.931675,0,1,false_positive,remaining_265,62.445,0,0,0,0,0,0,0,0,AC,"  -> s -> Controlx2 -> t -> r -> i -> s -> n -> g -> s ->   -> ; -> Enter -> w -> h -> i -> l -> e -> Shift -> ( -> g -> e -> t -> l -> i -> n -> e -> Shift -> ( -> i -> n -> , -> c -> s -> Shift -> { -> Enter -> o -> r -> f -> Shift -> ( -> i -> n -> r -> Control -> n -> t ->   -> ix2 -> = -> 0 -> ; -> i -> Shift -> s -> < -> . -> s -> i -> z -> e -> Shift -> ( -> ; -> i -> Shift -> +x2 -> Shift -> { -> Enter -> i -> f -> Shift -> ( -> s -> i -> a -> l -> p -> h -> a -> Shift -> ( -> s -> [ -> i -> Shift -> { -> Enter -> s -> [ -> i -> = -> t -> o -> u -> Shift -> ( -> s"
1041521-w001,1041521,71,2025-12-13T20:16:00.762800,0,1,false_positive,remaining_265,196.575,0,0,0,0,0,0,0,0,AC,Shiftx18 -> # -> Shiftx3 -> i -> Shift -> c -> l -> n -> d -> u -> e -> Shift -> < -> > -> s -> t -> d -> i -> o -> . -> h -> Enter -> i -> n -> t -> m -> i ->   -> a -> n -> a -> i -> n -> Shift -> ( -> v -> i -> d -> o -> Shift -> { -> Enter -> e -> t -> r -> u -> r -> n ->   -> 0 -> ; -> \ -> Enter
1146055-w004,1146055,271,2025-12-25T10:13:50.642675,0,1,false_positive,remaining_265,45.766,0,0,0,0,0,0,20,15,AC,"Shiftx7 -> > -> Shift -> Enter -> Shift -> i -> n -> t ->   -> m -> a -> i -> n -> Shift -> ( -> Control -> v -> Enter -> i ->   -> n -> m -> a -> i -> t -> n -> Shift -> ( -> Shift -> { -> Enter -> t -> i ->   -> nx2 -> ; -> Enter -> w -> i -> l -> e -> h -> Shiftx24 -> ( -> a -> c -> n -> s -> c -> a -> n -> f -> Shift -> ( -> Shiftx3 -> "" -> Shift -> % -> d -> , -> Shift -> & -> n -> Shift -> ! -> + -> = -> d -> # -> E -> Shiftx2 -> E -> O -> F -> Shiftx16 -> { -> Enter -> Shift -> i -> n -> t ->   -> a -> rx2 -> 9 -> [ -> n -> ; -> Enter -> f -> o -> r -> Shift -> ( -> i -> n -> t ->   -> i -> ="
