window_id,solution_id,event_index,window_end_time,label,prediction,error_type,judge,current_idle_s,keys_30s,text_keys_30s,clipboard_ops_30s,key_summary
1299589-w001,1299589,58,2026-01-06T20:23:42.642400,0,1,false_positive,AC,84.287,0,0,0,"Shift -> # -> i -> n -> c -> l -> u -> d -> e -> Shift -> < -> t -> d -> s -> i -> . -> o -> h -> Shift -> > -> Enter -> n -> t ->   -> i -> m -> i -> n -> Shift -> a -> ( -> Shift -> { -> Enterx6 -> r -> e -> t -> u -> r ->   -> 0 -> n -> ; -> i -> n -> t ->   -> a -> , -> b -> , -> n -> ; -> Enter"
1090270-w005,1090270,630,2025-12-19T11:11:44.434500,0,1,false_positive,AC,33.166,0,0,0,Shift -> ( -> e -> v -> e -> n -> [ -> j -> > -> Shift -> Enter -> i -> n -> t ->   -> t -> ; -> = -> e -> v -> e -> n -> [ -> j -> e -> v -> e -> n -> [ -> j -> Shift -> + -> 1 -> Shift -> { -> Enter -> e -> v -> n -> e -> [ -> j -> = -> e -> v -> e -> n -> Shift -> J -> [ -> Shift -> + -> 1 -> j -> ; -> Enter -> e -> v -> e -> n -> [ -> j -> Shift -> + -> 1 -> - -> = -> t -> ; -> Control -> Insert -> Control -> Insert -> Control -> c -> Control -> v -> Control -> v -> ox3 -> dx4 -> ox2 -> dx2 -> o -> dx2 -> o -> dx2 -> o -> dx2 -> Control -> Insert -> Enter -> r -> f -> o -> Shift -> ( -> i -> n -> t
1132940-w003,1132940,402,2025-12-23T22:35:29.438800,0,1,false_positive,AC,50.818,0,0,0,". -> h -> i -> n -> t ->   -> l -> e -> n -> Shiftx3 -> _ -> 1 -> = ->  x2 -> s -> t -> r -> l -> e -> n -> Shift -> ( -> b -> ; -> Enter -> i -> n -> t ->   -> l -> e -> n -> Shift -> + -> Shift -> _ -> 2 ->   -> = ->   -> s -> t -> r -> l -> e -> n ->   -> Shift -> ( -> a -> f -> ; -> Enterx3 -> v -> o -> i -> d ->   -> m -> a -> x -> Shiftx2 -> i -> n -> t -> ( ->   -> a -> , -> i -> n -> t ->   -> b -> Shift -> { -> Enter -> r -> e -> t ->   -> Shiftx7 -> ( -> a ->   -> Shift -> > ->   -> b ->   -> Shift -> ? ->   -> a ->   -> : -> Shift ->   -> b -> ;"
1132940-w004,1132940,456,2025-12-23T22:39:30.245100,0,1,false_positive,AC,86.807,0,0,0,"; -> Enterx3 -> v -> o -> i -> d ->   -> m -> a -> x -> Shiftx2 -> i -> n -> t -> ( ->   -> a -> , -> i -> n -> t ->   -> b -> Shift -> { -> Enter -> r -> e -> t ->   -> Shiftx7 -> ( -> a ->   -> Shift -> > ->   -> b ->   -> Shift -> ? ->   -> a ->   -> : -> Shift ->   -> b -> ; -> Enter -> i -> n -> t ->   -> m -> x -> a ->   -> Shift -> _ -> l -> e -> nx2 ->   -> = ->   -> m -> a -> x -> ( -> Shift -> l -> 1 -> ; -> , -> l -> Enter -> ; -> f -> o -> r -> Shift -> ( -> i -> n -> t ->   -> n ->   -> = ->   -> 0 -> i -> j -> ; ->   -> i ->   -> Shift -> <"
1272023-w002,1272023,483,2026-01-05T16:32:40.661625,0,1,false_positive,TLE,82.992,0,0,0,"n -> , -> c -> u -> o -> n -> t -> ; -> , -> c -> o -> u -> n -> t -> ; -> Enter -> i -> n -> t ->   -> i -> s -> p -> r -> i -> m -> e -> Shift -> ( -> i -> n -> t ->   -> n -> Enter -> Shift -> { -> Enter -> i -> f -> Shift -> n -> ( -> Shift -> < -> = -> 1 -> Enter -> r -> e -> t -> u -> r -> n ->   -> ; -> Enter -> 0 -> i -> f -> Shift -> n -> ( -> Shift -> < -> = -> 3 -> Enter -> r -> Alt ->   -> 1 -> ; -> Enter -> i -> f -> Shift -> ( -> n -> Shiftx5 -> 2 -> % -> =x2 -> 0 -> Shift -> |x2 -> n -> Shift -> % -> 3 -> =x2 -> 0 -> Enter -> r ->   -> 0 -> ; -> Enter ->   -> Enter"
1259801-w004,1259801,205,2026-01-04T19:21:04.951524999,1,0,false_negative,AC,16.562,16,15,0,"# -> i -> n -> c -> Shift -> l -> u -> d -> Shift -> < -> e -> s -> d -> t -> i -> o -> . -> h -> Shift -> Enter -> > -> n -> t ->   -> m -> i -> a -> i -> Shift -> N -> ( -> Shift -> ( -> n -> Shift -> { -> Enter -> ' -> Enterx3 -> r -> t -> u -> r -> e -> n ->   -> 0 -> ; -> Enter -> Shift -> } -> i -> n -> t -> s ->   -> , -> e -> , -> r -> Enter -> ; -> w -> h -> i -> e -> Shift -> l -> ( -> s -> c -> a -> n -> f -> Shift -> ( -> "" -> s -> Shift -> ~ -> e -> , -> r -> , -> Shift -> & -> s -> Shift -> "" -> % -> d -> Shift -> ~ -> Shift -> d -> % -> , -> Shift -> d -> %"
1259801-w005,1259801,214,2026-01-04T19:21:48.101099999,1,0,false_negative,AC,17.817,9,6,0,"# -> i -> n -> c -> Shift -> l -> u -> d -> Shift -> < -> e -> s -> d -> t -> i -> o -> . -> h -> Shift -> Enter -> > -> n -> t ->   -> m -> i -> a -> i -> Shift -> N -> ( -> Shift -> ( -> n -> Shift -> { -> Enter -> ' -> Enterx3 -> r -> t -> u -> r -> e -> n ->   -> 0 -> ; -> Enter -> Shift -> } -> i -> n -> t -> s ->   -> , -> e -> , -> r -> Enter -> ; -> w -> h -> i -> e -> Shift -> l -> ( -> s -> c -> a -> n -> f -> Shift -> ( -> "" -> s -> Shift -> ~ -> e -> , -> r -> , -> Shift -> & -> s -> Shift -> "" -> % -> d -> Shift -> ~ -> Shift -> d -> % -> , -> Shift -> d -> %"
1429511-w002,1429511,445,2026-03-24T14:09:05.360125,0,1,false_positive,AC,31.18,0,0,0,"< -> n -> l -> ; -> m -> ; ->   -> + -> i -> + ->   -> { -> Enter -> s -> Shift -> c -> n -> a -> f -> d -> Shift -> * -> (x2 -> "" -> % -> d ->   -> Shift -> % -> d ->   -> Shift -> % -> D -> d ->   -> , -> Shift -> & -> p -> , ->   -> & -> Shift -> m -> , ->   -> Shift -> c -> & -> ; -> [ -> o -> ix2 -> [ -> i -> [ -> i -> Enterx2 -> f -> r -> o ->   -> Shift -> ( -> i -> n -> t ->   -> i -> = -> 0 -> ; ->   -> i -> Shift -> < -> n -> ; -> m -> ; ->   -> +x2 -> u ->   -> i -> Shift -> Enter -> { -> Enter -> v -> e -> c -> t -> r -> Shift -> < -> o -> i -> n"
1429511-w004,1429511,478,2026-03-24T14:15:12.908775,0,1,false_positive,AC,150.728,0,0,0,"% -> D -> d ->   -> , -> Shift -> & -> p -> , ->   -> & -> Shift -> m -> , ->   -> Shift -> c -> & -> ; -> [ -> o -> ix2 -> [ -> i -> [ -> i -> Enterx2 -> f -> r -> o ->   -> Shift -> ( -> i -> n -> t ->   -> i -> = -> 0 -> ; ->   -> i -> Shift -> < -> n -> ; -> m -> ; ->   -> +x2 -> u ->   -> i -> Shift -> Enter -> { -> Enter -> v -> e -> c -> t -> r -> Shift -> < -> o -> i -> n -> t -> Shift -> > ->   -> d -> p -> Shiftx5 -> n -> ( -> + -> , ->   -> 0 -> 1 -> ; -> f -> o -> r ->   -> Shift -> ( -> i -> n -> t ->   -> j -> = -> 0 -> ; ->   -> j -> Shift"
1429511-w005,1429511,478,2026-03-24T14:18:16.683100,0,1,false_positive,AC,334.502,0,0,0,"% -> D -> d ->   -> , -> Shift -> & -> p -> , ->   -> & -> Shift -> m -> , ->   -> Shift -> c -> & -> ; -> [ -> o -> ix2 -> [ -> i -> [ -> i -> Enterx2 -> f -> r -> o ->   -> Shift -> ( -> i -> n -> t ->   -> i -> = -> 0 -> ; ->   -> i -> Shift -> < -> n -> ; -> m -> ; ->   -> +x2 -> u ->   -> i -> Shift -> Enter -> { -> Enter -> v -> e -> c -> t -> r -> Shift -> < -> o -> i -> n -> t -> Shift -> > ->   -> d -> p -> Shiftx5 -> n -> ( -> + -> , ->   -> 0 -> 1 -> ; -> f -> o -> r ->   -> Shift -> ( -> i -> n -> t ->   -> j -> = -> 0 -> ; ->   -> j -> Shift"
1017474-w002,1017474,95,2025-12-10T08:49:47.886750,0,1,false_positive,AC,41.723,0,0,0,"Control -> i -> # -> Shift -> i -> n -> c -> l -> u -> d -> ex3 -> Shift -> < -> s -> t -> d -> i -> o -> . -> h -> Shift -> > -> Enter -> i -> n -> t ->   -> m -> a -> i -> n -> Shift -> ( -> Shift -> { -> Shift -> { -> Enter -> w -> i -> h -> l -> e -> Shift -> ( -> s -> c -> a -> n -> f -> Shift -> ( -> Enter -> c -> h -> a -> r ->   -> n -> u -> m -> Shift -> { -> 6 -> [ -> 6 -> = -> Shift -> { -> 0 -> Shift -> } -> ; -> Shift -> "" -> Shift -> % -> s ->   -> ,x2 ->   -> n -> u -> m -> Shift -> ! -> = -> e -> o -> f -> Shift -> { -> Enter"
1017474-w005,1017474,265,2025-12-10T08:54:23.344800,0,1,false_positive,AC,38.538,0,0,0,"t -> d -> i -> o -> . -> h -> Shift -> > -> Enter -> i -> n -> t ->   -> m -> a -> i -> n -> Shift -> ( -> Shift -> { -> Shift -> { -> Enter -> w -> i -> h -> l -> e -> Shift -> ( -> s -> c -> a -> n -> f -> Shift -> ( -> Enter -> c -> h -> a -> r ->   -> n -> u -> m -> Shift -> { -> 6 -> [ -> 6 -> = -> Shift -> { -> 0 -> Shift -> } -> ; -> Shift -> "" -> Shift -> % -> s ->   -> ,x2 ->   -> n -> u -> m -> Shift -> ! -> = -> e -> o -> f -> Shift -> { -> Enter -> i -> n -> t ->   -> t -> = -> 0 -> ; -> Enter -> i -> f -> Shift -> ( -> n -> u -> m -> [ -> 5 -> 4 -> =x2 -> '"
1070364-w002,1070364,178,2025-12-17T09:17:37.743625,0,1,false_positive,WA,47.01,0,0,0,"Shift -> # -> i -> n -> c -> l -> u -> d -> Shift -> e -> Shift -> < -> s -> t -> d -> i -> o -> h -> . -> Shift -> > -> Enter -> i -> n -> t ->   -> m -> a -> i -> n -> Shift -> ) -> Shift -> ( -> v -> i -> o -> i -> d -> Shift -> { -> Enter -> i -> t ->   -> a -> n -> , -> b -> ; -> Enter -> s -> c -> a -> n -> g -> f -> Shift -> ( -> "" -> % -> d -> Shift -> % -> d -> , -> Shiftx6 -> & -> a -> , -> Shiftx10 -> & -> b -> ; -> Enter -> f -> o -> r -> Shift -> ( -> b -> Shift -> > -> 0 -> Shift -> { -> Enterx2 -> n -> t ->   -> i -> c -> ; -> c -> = -> a -> Shiftx21 -> % -> b -> ;"
1391662-w001,1391662,42,2026-01-10T10:29:13.079800,0,1,false_positive,WA,193.599,0,0,0,Shift -> # -> i -> n -> c -> l -> u -> e -> Shift -> < -> > -> d -> sx2 -> t -> i -> o -> dx2 -> i -> o -> . -> h -> Enterx2 -> i -> n -> t ->   -> m -> a -> i -> Shift -> ( -> n -> v -> o -> i -> d -> Enter -> { -> Shift -> Enter
1440765-w004,1440765,258,2026-03-28T11:44:51.931675,0,1,false_positive,AC,62.445,0,0,0,"  -> s -> Controlx2 -> t -> r -> i -> s -> n -> g -> s ->   -> ; -> Enter -> w -> h -> i -> l -> e -> Shift -> ( -> g -> e -> t -> l -> i -> n -> e -> Shift -> ( -> i -> n -> , -> c -> s -> Shift -> { -> Enter -> o -> r -> f -> Shift -> ( -> i -> n -> r -> Control -> n -> t ->   -> ix2 -> = -> 0 -> ; -> i -> Shift -> s -> < -> . -> s -> i -> z -> e -> Shift -> ( -> ; -> i -> Shift -> +x2 -> Shift -> { -> Enter -> i -> f -> Shift -> ( -> s -> i -> a -> l -> p -> h -> a -> Shift -> ( -> s -> [ -> i -> Shift -> { -> Enter -> s -> [ -> i -> = -> t -> o -> u -> Shift -> ( -> s"
1041521-w001,1041521,71,2025-12-13T20:16:00.762800,0,1,false_positive,AC,196.575,0,0,0,Shiftx18 -> # -> Shiftx3 -> i -> Shift -> c -> l -> n -> d -> u -> e -> Shift -> < -> > -> s -> t -> d -> i -> o -> . -> h -> Enter -> i -> n -> t -> m -> i ->   -> a -> n -> a -> i -> n -> Shift -> ( -> v -> i -> d -> o -> Shift -> { -> Enter -> e -> t -> r -> u -> r -> n ->   -> 0 -> ; -> \ -> Enter
1146055-w004,1146055,271,2025-12-25T10:13:50.642675,0,1,false_positive,AC,45.766,0,0,0,"Shiftx7 -> > -> Shift -> Enter -> Shift -> i -> n -> t ->   -> m -> a -> i -> n -> Shift -> ( -> Control -> v -> Enter -> i ->   -> n -> m -> a -> i -> t -> n -> Shift -> ( -> Shift -> { -> Enter -> t -> i ->   -> nx2 -> ; -> Enter -> w -> i -> l -> e -> h -> Shiftx24 -> ( -> a -> c -> n -> s -> c -> a -> n -> f -> Shift -> ( -> Shiftx3 -> "" -> Shift -> % -> d -> , -> Shift -> & -> n -> Shift -> ! -> + -> = -> d -> # -> E -> Shiftx2 -> E -> O -> F -> Shiftx16 -> { -> Enter -> Shift -> i -> n -> t ->   -> a -> rx2 -> 9 -> [ -> n -> ; -> Enter -> f -> o -> r -> Shift -> ( -> i -> n -> t ->   -> i -> ="
1146055-w005,1146055,271,2025-12-25T10:14:53.219700,0,1,false_positive,AC,108.343,0,0,0,"Shiftx7 -> > -> Shift -> Enter -> Shift -> i -> n -> t ->   -> m -> a -> i -> n -> Shift -> ( -> Control -> v -> Enter -> i ->   -> n -> m -> a -> i -> t -> n -> Shift -> ( -> Shift -> { -> Enter -> t -> i ->   -> nx2 -> ; -> Enter -> w -> i -> l -> e -> h -> Shiftx24 -> ( -> a -> c -> n -> s -> c -> a -> n -> f -> Shift -> ( -> Shiftx3 -> "" -> Shift -> % -> d -> , -> Shift -> & -> n -> Shift -> ! -> + -> = -> d -> # -> E -> Shiftx2 -> E -> O -> F -> Shiftx16 -> { -> Enter -> Shift -> i -> n -> t ->   -> a -> rx2 -> 9 -> [ -> n -> ; -> Enter -> f -> o -> r -> Shift -> ( -> i -> n -> t ->   -> i -> ="
1322502-w003,1322502,294,2026-01-07T19:16:14.221450,0,1,false_positive,AC,164.41,0,0,0,"m -> Enter -> h -> i -> w -> l -> e -> Shift -> ( -> s -> c -> a -> n -> f -> Shift -> ( -> Shift -> : -> ""x2 -> Shiftx2 -> % -> d -> "" -> , -> Shift -> & -> n -> . -> Shift -> & -> m ->   -> Shift -> % -> d -> , -> Shift -> ! -> = -> Shift -> E -> O -> F -> Shift -> { -> Enter -> i -> n -> t -> a -> rx2 ->   -> [ -> 1 -> 5 -> 0 -> [ -> 1 -> 0 -> 5 -> ; -> Enter -> f -> o -> r -> Shift -> ( -> i -> n ->   -> t -> i -> = -> 0 -> ; -> i -> Shift -> < -> n -> ; -> i -> Shift -> +x2 -> Shift -> { -> Enter -> o -> r -> f -> Shift -> ( -> i -> n -> t ->   -> j -> = -> 0 -> ; -> j"
1095283-w005,1095283,516,2025-12-19T21:50:12.892399999,0,1,false_positive,AC,45.206,0,0,0,"r -> e -> a -> l -> k -> ; -> f -> i -> Shift -> ( -> f -> l -> a -> g -> =x2 -> 1 -> Shift -> { -> Enterx2 -> e -> l -> ; -> s -> e -> s -> e -> { -> Shift -> Enter -> p -> r -> n -> t -> f -> i -> Shift -> ( -> Shift -> "" -> CapsLock -> N -> 0 -> Shift -> \ -> CapsLock -> Shift -> , -> n -> ; -> c -> h -> a -> r ->   -> c -> n -> t -> [ -> 5 -> 6 -> 2 -> ; -> Enter -> f -> o -> r -> Shift -> ( -> n ->   -> t -> i ->   -> t -> i -> = -> 0 -> ; -> Shift -> < -> i -> e -> n -> l -> Shift -> + -> 1 -> Controlx3 -> Shift -> ( -> Shift -> ) -> / -> 2 -> ; -> i -> Shift -> +x2 -> Shift -> {"
1257843-w005,1257843,141,2026-01-04T17:26:24.090700,0,1,false_positive,AC,106.944,0,0,0,"Shift -> # -> i -> n -> c -> l -> u -> d -> e ->   -> CapsLock -> Shift -> CapsLock -> Shiftx11 -> < -> Shift -> s -> t -> d -> o -> . -> h -> i -> Shift -> < -> Shift -> > -> Enterx2 -> i -> n ->   -> m -> a -> t -> i -> n -> Shiftx6 -> ( -> Enter -> Shift -> { -> Enter -> i -> n -> t ->   -> n -> ; -> Enter -> w -> h -> l -> e -> i -> Shift -> ( -> s -> a -> n -> c -> f -> Shift -> ( -> Shift -> "" -> Shift -> d -> % -> , -> Shiftx12 -> & -> n -> Shiftx2 -> ! -> = -> Shift -> E -> O -> F -> Shiftx2 -> Enter -> Shift -> { -> Enter -> r -> i -> n -> t -> f -> p -> Shift -> ( -> Shift -> "" -> Shift -> % -> x -> \ -> n -> b"
1432485-w004,1432485,824,2026-03-25T10:46:16.332800,0,1,false_positive,AC,57.729,0,0,0,e -> ( -> Shift -> i -> ; -> Shift -> + -> Shift -> { -> + -> Enter -> i -> n -> t ->   -> v ->   -> = ->   -> g -> [ -> u -> [ -> i -> . -> f -> i -> s -> r -> t -> Enter -> ; -> i -> t ->   -> d -> n ->   -> = ->   -> g -> [ -> u -> [ -> i -> . -> s -> e -> c -> o -> d -> ; -> n -> Enterx2 -> f -> i -> Shift -> ( -> i -> s -> d -> t -> [ -> v ->   -> Shift -> > ->   -> ; -> d -> Shift -> Enter -> d -> i -> { -> t -> s -> [ -> v ->   -> = ->   -> d -> ; -> Enterx2 -> p -> q -> . -> p -> u -> d -> h -> s -> h -> Shiftx71 -> ( -> Shift -> { -> Shift -> d
1101613-w003,1101613,193,2025-12-20T17:05:16.369449999,0,1,false_positive,AC,39.219,0,0,0,"Shift -> # -> i -> n -> l -> c -> u -> d -> e -> Shift -> < -> s -> t -> d -> i -> o -> . -> h -> Shift -> > -> Enter -> i -> n -> t -> m -> a ->   -> i -> Shift -> ( -> Shift -> n -> ) -> Shift -> { -> Enter -> i -> n -> t ->   -> n -> ; -> Enter -> w -> h -> i -> l -> e -> Shift -> ( -> s -> a -> n -> f -> c -> Shift -> ( -> Shift -> "" -> Shift -> % -> d -> Shift -> "" -> , -> Shift -> & -> n -> Shiftx2 -> ) -> ! -> = -> Shift -> E -> O -> F -> Shift -> ) -> Shift -> { -> Enter -> f -> o -> r -> Shift -> ( -> i -> n -> t ->   -> i -> = -> 0 -> ; -> i -> Shift -> < -> 3 -> i -> ;"
1154760-w001,1154760,132,2025-12-25T16:10:14.133200,0,1,false_positive,AC,99.573,0,0,0,"# -> i -> n -> c -> l -> u -> d -> e ->   -> < -> s -> t -> d -> i -> o -> . -> h -> > -> Enter -> i -> t ->   -> n -> m -> a -> n -> i -> ( -> v -> o -> i -> d -> Enter -> { -> Enter -> i -> n -> t ->   -> t -> ; -> Enter -> w -> s -> c -> a -> n -> f -> ( -> "" -> % -> d -> , -> & -> t -> ; -> Enter -> w -> h -> i -> l -> e -> ( -> t -> -x2 -> Enter -> { -> Enter -> i -> n -> t ->   -> n -> ; -> Enter -> s -> c -> a -> n -> f -> ( -> "" -> % -> d -> , -> & -> n -> ; -> Enter -> i -> n -> t -> i -> n -> t ->   -> a -> [ -> l -> o"
