window_id,solution_id,event_index,window_end_time,label
"1145934-w002",1145934,72,"2025-12-25T09:57:16.362250",1
"1145934-w003",1145934,72,"2025-12-25T09:59:00.786500",1
"1145934-w004",1145934,91,"2025-12-25T10:00:45.210750",1
"1145934-w005",1145934,100,"2025-12-25T10:02:29.635000",1
"1359598-w001",1359598,230,"2026-01-09T08:59:02.728800",1
"1359598-w002",1359598,708,"2026-01-09T09:03:54.845625",0
"1359598-w003",1359598,922,"2026-01-09T09:08:46.962450",1
"1359598-w004",1359598,1210,"2026-01-09T09:13:39.079275",0
"1359598-w005",1359598,1404,"2026-01-09T09:18:31.196100",0
"1428909-w001",1428909,66,"2026-03-24T11:54:23.088000",1
"1428909-w002",1428909,124,"2026-03-24T11:55:20.570250",0
"1428909-w003",1428909,125,"2026-03-24T11:56:18.052500",1
"1428909-w004",1428909,202,"2026-03-24T11:57:15.534750",0
"1428909-w005",1428909,226,"2026-03-24T11:58:13.017000",0
"1006107-w001",1006107,163,"2025-12-08T18:49:02.694000",1
"1006107-w002",1006107,244,"2025-12-08T18:53:45.663750",0
"1006107-w003",1006107,259,"2025-12-08T18:58:28.633500",1
"1006107-w004",1006107,269,"2025-12-08T19:03:11.603250",1
"1006107-w005",1006107,277,"2025-12-08T19:07:54.573000",0
"1398659-w001",1398659,30,"2026-01-10T18:03:40.703600",-1
"1398659-w002",1398659,36,"2026-01-10T18:06:25.511250",-1
"1398659-w003",1398659,42,"2026-01-10T18:09:10.318900",-1
"1398659-w004",1398659,51,"2026-01-10T18:11:55.126550",-1
"1398659-w005",1398659,60,"2026-01-10T18:14:39.934200",-1
"1120829-w001",1120829,72,"2025-12-22T20:43:51.080800",1
"1120829-w002",1120829,204,"2025-12-22T20:47:34.167125",0
"1120829-w003",1120829,314,"2025-12-22T20:51:17.253450",0
"1120829-w004",1120829,442,"2025-12-22T20:55:00.339775",1
"1120829-w005",1120829,462,"2025-12-22T20:58:43.426100",-1
"1387343-w001",1387343,21,"2026-01-10T00:25:31.232000",-1
"1387343-w002",1387343,26,"2026-01-10T00:25:44.362700",-1
"1387343-w003",1387343,35,"2026-01-10T00:25:57.493399999",-1
"1387343-w004",1387343,37,"2026-01-10T00:26:10.624100",-1
"1387343-w005",1387343,64,"2026-01-10T00:26:23.754799999",-1
"1297782-w001",1297782,22,"2026-01-06T19:04:39.088400",1
"1297782-w002",1297782,76,"2026-01-06T19:05:16.139750",0
"1297782-w003",1297782,131,"2026-01-06T19:05:53.191100",0
"1297782-w004",1297782,166,"2026-01-06T19:06:30.242450",0
"1297782-w005",1297782,179,"2026-01-06T19:07:07.293800",0
"1136332-w001",1136332,101,"2025-12-24T09:03:03.520000",1
"1136332-w002",1136332,101,"2025-12-24T09:05:17.915625",1
"1136332-w003",1136332,101,"2025-12-24T09:07:32.311250",1
"1136332-w004",1136332,101,"2025-12-24T09:09:46.706875",1
"1136332-w005",1136332,101,"2025-12-24T09:12:01.102500",1
"1319522-w001",1319522,1,"2026-01-07T17:29:49.834600",-1
"1319522-w002",1319522,1,"2026-01-07T17:32:06.236250",-1
"1319522-w003",1319522,1,"2026-01-07T17:34:22.637900",-1
"1319522-w004",1319522,4,"2026-01-07T17:36:39.039550",-1
"1319522-w005",1319522,44,"2026-01-07T17:38:55.441200",-1
"1422860-w001",1422860,2,"2026-03-23T11:50:57.609200",-1
"1422860-w002",1422860,4,"2026-03-23T11:52:24.293000",-1
"1422860-w003",1422860,66,"2026-03-23T11:53:50.976800",-1
"1422860-w004",1422860,68,"2026-03-23T11:55:17.660600",-1
"1422860-w005",1422860,115,"2026-03-23T11:56:44.344400",0
"1204347-w001",1204347,240,"2025-12-29T20:42:10.992200",0
"1204347-w002",1204347,469,"2025-12-29T20:44:48.869500",0
"1204347-w003",1204347,700,"2025-12-29T20:47:26.746800",0
"1204347-w004",1204347,733,"2025-12-29T20:50:04.624100",0
"1204347-w005",1204347,803,"2025-12-29T20:52:42.501400",0
"993770-w001",993770,0,"2025-12-06T12:12:35.120000",-1
"993770-w002",993770,2,"2025-12-06T12:17:18.987499999",-1
"993770-w003",993770,68,"2025-12-06T12:22:02.855000",-1
"993770-w004",993770,122,"2025-12-06T12:26:46.722499999",-1
"993770-w005",993770,159,"2025-12-06T12:31:30.589999999",-1
"1092863-w001",1092863,13,"2025-12-19T17:05:15.126200",-1
"1092863-w002",1092863,15,"2025-12-19T17:06:29.409500",-1
"1092863-w003",1092863,30,"2025-12-19T17:07:43.692800",-1
"1092863-w004",1092863,135,"2025-12-19T17:08:57.976100",-1
"1092863-w005",1092863,135,"2025-12-19T17:10:12.259400",-1
"1299589-w001",1299589,58,"2026-01-06T20:23:42.642400",0
"1299589-w002",1299589,111,"2026-01-06T20:25:33.308374999",0
"1299589-w003",1299589,137,"2026-01-06T20:27:23.974350",1
"1299589-w004",1299589,156,"2026-01-06T20:29:14.640324999",1
"1299589-w005",1299589,222,"2026-01-06T20:31:05.306299999",0
"1249728-w001",1249728,106,"2026-01-04T08:22:48.066000",1
"1249728-w002",1249728,106,"2026-01-04T08:24:55.633125",1
"1249728-w003",1249728,106,"2026-01-04T08:27:03.200250",1
"1249728-w004",1249728,106,"2026-01-04T08:29:10.767375",1
"1249728-w005",1249728,106,"2026-01-04T08:31:18.334500",1
"1203968-w001",1203968,62,"2025-12-29T20:31:15.666400",-1
"1203968-w002",1203968,84,"2025-12-29T20:32:22.347000",-1
"1203968-w003",1203968,172,"2025-12-29T20:33:29.027600",-1
"1203968-w004",1203968,248,"2025-12-29T20:34:35.708200",0
"1203968-w005",1203968,322,"2025-12-29T20:35:42.388799999",0
"1090270-w001",1090270,213,"2025-12-19T11:02:04.607000",0
"1090270-w002",1090270,365,"2025-12-19T11:04:29.563875",0
"1090270-w003",1090270,461,"2025-12-19T11:06:54.520750",0
"1090270-w004",1090270,626,"2025-12-19T11:09:19.477625",0
"1090270-w005",1090270,630,"2025-12-19T11:11:44.434500",0
"1132940-w001",1132940,218,"2025-12-23T22:27:27.826200",0
"1132940-w002",1132940,356,"2025-12-23T22:31:28.632500",0
"1132940-w003",1132940,402,"2025-12-23T22:35:29.438800",0
"1132940-w004",1132940,456,"2025-12-23T22:39:30.245100",0
"1132940-w005",1132940,456,"2025-12-23T22:43:31.051400",1
"1248218-w001",1248218,6,"2026-01-03T23:22:53.020400",-1
"1248218-w002",1248218,36,"2026-01-03T23:23:22.431250",-1
"1248218-w003",1248218,36,"2026-01-03T23:23:51.842100",-1
"1248218-w004",1248218,36,"2026-01-03T23:24:21.252950",-1
"1248218-w005",1248218,45,"2026-01-03T23:24:50.663800",-1
"1055705-w001",1055705,321,"2025-12-15T19:25:49.151400",0
"1055705-w002",1055705,547,"2025-12-15T19:28:50.431625",0
"1055705-w003",1055705,756,"2025-12-15T19:31:51.711850",0
"1055705-w004",1055705,778,"2025-12-15T19:34:52.992075",1
"1055705-w005",1055705,939,"2025-12-15T19:37:54.272299999",0
"1049954-w001",1049954,9,"2025-12-15T11:22:53.458800",0
"1049954-w002",1049954,154,"2025-12-15T11:24:07.061875",0
"1049954-w003",1049954,216,"2025-12-15T11:25:20.664950",0
"1049954-w004",1049954,258,"2025-12-15T11:26:34.268025",0
"1049954-w005",1049954,345,"2025-12-15T11:27:47.871100",0
"1272023-w001",1272023,422,"2026-01-05T16:29:15.346200",0
"1272023-w002",1272023,483,"2026-01-05T16:32:40.661625",0
"1272023-w003",1272023,488,"2026-01-05T16:36:05.977049999",1
"1272023-w004",1272023,508,"2026-01-05T16:39:31.292474999",1
"1272023-w005",1272023,508,"2026-01-05T16:42:56.607899999",1
"1052340-w001",1052340,24,"2025-12-15T16:50:20.375600",-1
"1052340-w002",1052340,62,"2025-12-15T16:51:51.216875",-1
"1052340-w003",1052340,71,"2025-12-15T16:53:22.058150",-1
"1052340-w004",1052340,79,"2025-12-15T16:54:52.899425",-1
"1052340-w005",1052340,95,"2025-12-15T16:56:23.740700",-1
"1259801-w001",1259801,94,"2026-01-04T19:18:55.502800",0
"1259801-w002",1259801,151,"2026-01-04T19:19:38.652375",0
"1259801-w003",1259801,184,"2026-01-04T19:20:21.801950",0
"1259801-w004",1259801,205,"2026-01-04T19:21:04.951524999",1
"1259801-w005",1259801,214,"2026-01-04T19:21:48.101099999",1
"1251138-w001",1251138,123,"2026-01-04T08:54:29.521200",0
"1251138-w002",1251138,209,"2026-01-04T08:55:47.927500",0
"1251138-w003",1251138,301,"2026-01-04T08:57:06.333799999",0
"1251138-w004",1251138,310,"2026-01-04T08:58:24.740100",0
"1251138-w005",1251138,318,"2026-01-04T08:59:43.146400",0
"1429511-w001",1429511,230,"2026-03-24T14:06:01.585800",0
"1429511-w002",1429511,445,"2026-03-24T14:09:05.360125",0
"1429511-w003",1429511,458,"2026-03-24T14:12:09.134450",0
"1429511-w004",1429511,478,"2026-03-24T14:15:12.908775",0
"1429511-w005",1429511,478,"2026-03-24T14:18:16.683100",0
"1166905-w001",1166905,231,"2025-12-26T11:16:46.296600",0
"1166905-w002",1166905,487,"2025-12-26T11:21:42.178375",0
"1166905-w003",1166905,488,"2025-12-26T11:26:38.060150",1
"1166905-w004",1166905,508,"2025-12-26T11:31:33.941925",1
"1166905-w005",1166905,835,"2025-12-26T11:36:29.823700",0
"1017474-w001",1017474,79,"2025-12-10T08:48:16.067400",0
"1017474-w002",1017474,95,"2025-12-10T08:49:47.886750",0
"1017474-w003",1017474,162,"2025-12-10T08:51:19.706100",0
"1017474-w004",1017474,223,"2025-12-10T08:52:51.525450",0
"1017474-w005",1017474,265,"2025-12-10T08:54:23.344800",0
"1326703-w001",1326703,61,"2026-01-07T20:54:39.508200",0
"1326703-w002",1326703,77,"2026-01-07T20:55:09.567250",0
"1326703-w003",1326703,83,"2026-01-07T20:55:39.626299999",0
"1326703-w004",1326703,106,"2026-01-07T20:56:09.685349999",0
"1326703-w005",1326703,130,"2026-01-07T20:56:39.744399999",0
"1380331-w001",1380331,57,"2026-01-09T21:21:02.144400",0
"1380331-w002",1380331,58,"2026-01-09T21:23:02.639250",1
"1380331-w003",1380331,80,"2026-01-09T21:25:03.134100",0
"1380331-w004",1380331,253,"2026-01-09T21:27:03.628950",0
"1380331-w005",1380331,393,"2026-01-09T21:29:04.123800",0
"1070364-w001",1070364,144,"2025-12-17T09:15:48.051000",0
"1070364-w002",1070364,178,"2025-12-17T09:17:37.743625",0
"1070364-w003",1070364,178,"2025-12-17T09:19:27.436250",1
"1070364-w004",1070364,288,"2025-12-17T09:21:17.128875",0
"1070364-w005",1070364,290,"2025-12-17T09:23:06.821500",1
